[2025-06-25 06:00:02] INFO - 🔧 Logging initialized
[2025-06-25 06:00:02] INFO - 프로그램 시작됨
[2025-06-25 06:00:16] INFO - 🔢 총 공고 수: 174477건 → 최대 페이지 수: 3490 페이지
[2025-06-25 06:00:16] INFO - 
📄 현재 페이지: 1
[2025-06-25 06:00:31] INFO - 0077 | ㈜드림텍 | ㈜드림텍 2025년 3분기 관리ㆍ제조부문 수시 채용 | 5시간 전 등록
[2025-06-25 06:00:31] INFO - 0078 | 대방건설 | 대방건설 신입 및 경력직 채용 | 5시간 전 등록
[2025-06-25 06:00:31] INFO - 0079 | ㈜드림텍 | ㈜드림텍 2025년 3분기 연구ㆍ개발부문 수시 채용 | 5시간 전 등록
[2025-06-25 06:00:31] INFO - 0080 | 에이스휴먼파워㈜ | [논현역/동종업계최고/정규직]원격지원상담 및 영업부서 지원업무 | 5시간 전 등록
[2025-06-25 06:00:32] INFO - 0081 | ㈜엠제이플렉스 | [목동/사무직/SBS] 방송장비 관리 및 사무보조 | 5시간 전 등록
[2025-06-25 06:00:32] INFO - 0082 | ㈜케이에스한국고용정보 | [평일만/부팀장급] 대한항공/아시아나 KB카드 VIP전담 예약발권 | 5시간 전 등록
[2025-06-25 06:00:32] INFO - 0083 | 휴인 | 안산고잔동/HD/자율성추구/인바운드센터/신청자상담/워라밸에진심/2818 | 5시간 전 등록
[2025-06-25 06:00:32] INFO - 0084 | 글로벌호프 | 글로벌호프 2025년 하반기 ODA YP 모집 | 5시간 전 등록
[2025-06-25 06:00:32] INFO - 0085 | 비씨카드(주) | 해외카드 아웃고잉 업무지원 | 5시간 전 등록
[2025-06-25 06:00:32] INFO - 0086 | ㈜와그 | [WAUG]와그 일본 제휴 비즈니스 담당 채용(신입/경력) | 5시간 전 등록
[2025-06-25 06:00:33] INFO - 0087 | ㈜넷솔테크 | ㈜넷솔테크 엔지니어 (기술지원 / 외부상주) 신입 및 경력 모집 | 5시간 전 등록
[2025-06-25 06:00:33] INFO - 0088 | 유안타증권㈜ | 유안타증권 지점 업무직원(파견전문직) 경력직원 채용 | 5시간 전 등록
[2025-06-25 06:00:33] INFO - 0089 | ㈜펜타브리드 | 온라인 플랫폼 웹/앱 운영 기획자 채용 | 5시간 전 등록
[2025-06-25 06:00:33] INFO - 0090 | ㈜비바리퍼블리카 | [토스페이먼츠] 보안직군 하반기 집중 채용 (- 6/30) | 5시간 전 등록
[2025-06-25 06:00:33] INFO - 0091 | ㈔월드샤프 | [월드샤프] 2025 하반기 개발협력 사업수행기관 ODA 영프로페셔널(YP) 모집 | 5시간 전 등록
[2025-06-25 06:00:33] INFO - 0092 | ㈜노블컴퍼니 | 2025 하반기 광고기획자 채용형인턴 채용(아웃바운드) | 5시간 전 등록
[2025-06-25 06:00:34] INFO - 0093 | 대건이앤씨㈜ | 건축 현장 공사 담당 모집(강원도 동해시 현장) | 5시간 전 등록
[2025-06-25 06:00:34] INFO - 0094 | ㈜신미화건설 | 건축 공사/공무 직원 모집(전국 현장 근무 가능자) | 5시간 전 등록
[2025-06-25 06:00:34] INFO - 0095 | ㈜신미화건설 | 건설 안전 관리자 직원 모집(전국 현장 근무 가능자) | 5시간 전 등록
[2025-06-25 06:00:34] INFO - 0096 | ㈔함께하는 사랑밭 | 2025년 하반기 KOICA 개발협력 사업수행기관 영프로페셔널YP 채용 | 5시간 전 등록
[2025-06-25 06:00:34] INFO - 0097 | 한경국립대학교 산학협력단 | 2025년 하반기 ODA 영프로페셔널(YP) 모집공고 | 5시간 전 등록
[2025-06-25 06:00:34] INFO - 0098 | ㈜버켈라 | (주)버켈라 2025년 하반기 체험형 Assistant Consultant(KOICA ODA YP) | 5시간 전 등록
[2025-06-25 06:00:34] INFO - 0099 | ㈜버켈라 | (주)버켈라 2025년 하반기 전환형 Assistant Consultant(KOICA ODA YP) | 5시간 전 등록
[2025-06-25 06:00:35] INFO - 0100 | 에코피스아시아 | 에코피스아시아 [2025년 하반기 KOICA ODA YP(영프로페셔널) 모집 사전공고 | 5시간 전 등록
[2025-06-25 06:00:35] INFO - ⏱ 2.60초 대기
[2025-06-25 06:00:38] INFO - 
📄 현재 페이지: 3
[2025-06-25 06:00:38] INFO - 0101 | ㈜하나투어 | 네팔(카트만두) 비자신청센터장 모집 | 5시간 전 등록
[2025-06-25 06:00:38] INFO - 0102 | ㈜한마음에너지솔루션 | (주)한마음에너지솔루션 해외사업팀 YP 계약직 채용 | 5시간 전 등록
[2025-06-25 06:00:39] INFO - 0103 | ㈔ 굿피플인터내셔널 | [굿피플인터내셔널] 2025 하반기 ODA 영프로페셔널(YP) 채용 | 5시간 전 등록
[2025-06-25 06:00:39] INFO - 0104 | ㈔아프리카미래재단 | [아프리카미래재단] 2025 하반기 KOICA ODA 영프로페셔널(YP) 모집 공고 | 5시간 전 등록
[2025-06-25 06:00:39] INFO - 0105 | ㈔더온전히 | 2025년 하반기 KOICA ODA 사업수행기관 영프로페셔널(YP) 채용 | 5시간 전 등록
[2025-06-25 06:00:39] INFO - 0106 | ㈜야놀자 | Workday HRIS Specialist | 5시간 전 등록
[2025-06-25 06:00:39] INFO - 0107 | 에이치알에스코리아 | [KT전주사옥(KT그룹 정규직)] AS센터 - TV인터넷 장애접수, 엔지니어배치 | 5시간 전 등록
[2025-06-25 06:00:39] INFO - 0108 | 에이치알에스코리아 | [KT서울중앙본부(주말근무X)/ 면접비有] TV인터넷 요금제 변경처리 및 상담 | 5시간 전 등록
[2025-06-25 06:00:40] INFO - 0109 | 에이치알에스코리아 | IM뱅크 (구)대구은행 / 은행업무-예금, 대출, 뱅킹, 정보변경 등 | 5시간 전 등록
[2025-06-25 06:00:40] INFO - 0110 | 장안김샘교육학원 | 장안 김샘수학 수학 강사 채용 | 6시간 전 등록
[2025-06-25 06:00:40] INFO - 0111 | 순삭곱창 | 브랜드 순삭곱창 슈퍼바이저(신입) 모집 | 6시간 전 등록
[2025-06-25 06:00:40] INFO - 0112 | ㈜유안에이치알 | [문화방송/MBC] 법조팀 취재보조 채용 (취재AD/뉴스기사제작지원/자료조사) | 7시간 전 등록
[2025-06-25 06:00:40] INFO - 0113 | ㈜유안에이치알 | [MBC/상암] 구내식당파트 식기세척 직무 채용/신입가능/경력자 초우대 | 7시간 전 등록
[2025-06-25 06:00:40] INFO - 0114 | 김관장의 착한PT | 김관장의 착한PT4호점 평촌학원가점 인재 채용안내 | 8시간 전 등록
[2025-06-25 06:00:40] INFO - 0115 | ㈜교원구몬 | [사하구]주2-3회관리,유아초저관리/아이와소통하실분/출퇴근용이/초보가능 | 8시간 전 등록
[2025-06-25 06:00:41] INFO - 0116 | 원소프트㈜ | DB, API 연계 업무 개발자 | 8시간 전 등록
[2025-06-25 06:00:41] INFO - 0117 | 에이아이프리미어파트너스㈜ | [천안시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-25 06:00:41] INFO - 0118 | 에이아이프리미어파트너스㈜ | [부천시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-25 06:00:41] INFO - 0119 | ㈜케이씨엠에스 | 광화문 KB국민카드 통합어드민 구축 (t07) | 8시간 전 등록
[2025-06-25 06:00:41] INFO - 0120 | 에이아이프리미어파트너스㈜ | [서대문역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-25 06:00:41] INFO - 0121 | 유니센스일대일영어학원 | [영등포구청역] 성인대상 1:1 교포급 영어회화 강사 | 8시간 전 등록
[2025-06-25 06:00:42] INFO - 0122 | 에이아이프리미어파트너스㈜ | [야탑역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-25 06:00:42] INFO - 0123 | 에이아이프리미어파트너스㈜ | [부평역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-25 06:00:42] INFO - 0124 | 한화생명금융서비스㈜ | 충청남도-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집. | 8시간 전 등록
