[2025-07-11 06:00:01] INFO - 🔧 Logging initialized
[2025-07-11 06:00:02] INFO - 프로그램 시작됨
[2025-07-11 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-11 06:00:19] INFO - 🔢 총 공고 수: 183325건 → 최대 페이지 수: 3667 페이지
[2025-07-11 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-11 06:00:31] INFO - 0054 | ㈜윌앤비전 | 우리카드 대표번호 인바운드 상담 | 5시간 전 등록
[2025-07-11 06:00:31] INFO - 0055 | ㈜케이티아이에스 | [정착금60만/월270만/KT스카이라이프 MVNO]개통 상담사 모집 | 5시간 전 등록
[2025-07-11 06:00:31] INFO - 0056 | ㈜선정인터내셔날 | [강릉/공기업] 사무보조 | 5시간 전 등록
[2025-07-11 06:00:32] INFO - 0057 | 에이스휴먼파워㈜ | [연 3300이상/무료셔틀버스] LG전자 SoC센터 서초 임원비서 채용 | 5시간 전 등록
[2025-07-11 06:00:32] INFO - 0058 | 중앙대학교 산학협력단 | 2025학년도 중앙대학교 산학협력단 변리사 채용 공고 | 5시간 전 등록
[2025-07-11 06:00:32] INFO - 0059 | ㈜맨파워코리아 | [서초/셔틀버스/연3,300이상] LG전자 SOC센터 기획팀 임원비서 모집 | 5시간 전 등록
[2025-07-11 06:00:32] INFO - 0060 | ㈔한국도로협회 | 한국도로협회 직원(계약직) 채용공고 | 5시간 전 등록
[2025-07-11 06:00:32] INFO - 0061 | ㈜에프앤씨시스템 | [아워홈] 남산왕돈까스 신세계센텀몰 조리 크루 모집 | 5시간 전 등록
[2025-07-11 06:00:32] INFO - 0062 | ㈜메타엠 | [무면허 가능/상여금 240만] 기아 고객센터 대표번호 인바운드 | 5시간 전 등록
[2025-07-11 06:00:33] INFO - 0063 | ㈜인천상사 | SK텔레콤 / 개통실 개통업무및 소매판매 | 5시간 전 등록
[2025-07-11 06:00:33] INFO - 0064 | ㈜웅진 | [고객센터 /동대문역/종로5가역 /야간] 씽크빅 고객센터 상담 채용 | 5시간 전 등록
[2025-07-11 06:00:33] INFO - 0065 | ㈜선진에프에스 | [하림그룹 하림푸드] 공장 관리파트 신입/경력 정규직 채용 | 5시간 전 등록
[2025-07-11 06:00:33] INFO - 0066 | 에이스휴먼파워㈜ | 신한카드[영등포/법인/체크/인바운드] 상담 & 콜 경력 우대 | 5시간 전 등록
[2025-07-11 06:00:33] INFO - 0067 | ㈜에스이에이치인터내셔널 | [쥬비스 노원점] 고객응대 및 기기관리 담당자 모집 (평일/8시간) | 5시간 전 등록
[2025-07-11 06:00:33] INFO - 0068 | ㈜오케이몰 | ㈜오케이몰 정보보안팀 신입(체험형 인턴) 채용 | 5시간 전 등록
[2025-07-11 06:00:34] INFO - 0069 | 에스케이쉴더스㈜ | [SK쉴더스] 동대구 센트로팰리스 APT 시설보안대원 (BP3) 신입 채용 | 5시간 전 등록
[2025-07-11 06:00:34] INFO - 0070 | ㈜이랜드이츠 | [이랜드이츠] 피자몰 서울경기 STORE MANAGER 신입/경력 채용 | 5시간 전 등록
[2025-07-11 06:00:34] INFO - 0071 | 루카스건강검진센터 루카스내과 | 루카스 건강검진센터부설 7up다이어트 홍보,마케팅 함께하실분 초빙 | 5시간 전 등록
[2025-07-11 06:00:34] INFO - 0072 | ㈜상상스퀘어 | [재택근무/연차 23일] 카피라이터 모집 | 5시간 전 등록
[2025-07-11 06:00:34] INFO - 0073 | 엘디에스 | 일본 해외 사업부 주재원 모집 | 5시간 전 등록
[2025-07-11 06:00:34] INFO - 0074 | ㈜신선 | 식.음료제조.샌드위치제조 | 5시간 전 등록
[2025-07-11 06:00:34] INFO - 0075 | ㈜상상스퀘어 | [재택근무/연차 23일] 커뮤니티 운영 매니저 모집 | 5시간 전 등록
[2025-07-11 06:00:35] INFO - 0076 | ㈜상상스퀘어 | [재택근무/연차 23일] React Native, Nodejs 풀스택 개발자 모집 | 5시간 전 등록
[2025-07-11 06:00:35] INFO - 0077 | ㈜상상스퀘어 | [연차 23일] CX/CS 매니저 모집 | 5시간 전 등록
[2025-07-11 06:00:35] INFO - 0078 | ㈜상상스퀘어 | [재택근무/연차 23일] 커머스 디자이너 모집 | 5시간 전 등록
