[2025-06-29 06:00:02] INFO - 🔧 Logging initialized
[2025-06-29 06:00:02] INFO - 프로그램 시작됨
[2025-06-29 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-06-29 06:00:18] INFO - 🔢 총 공고 수: 174000건 → 최대 페이지 수: 3480 페이지
[2025-06-29 06:00:18] INFO - 
📄 현재 페이지: 1
[2025-06-29 06:00:47] INFO - 0135 | 프론티어랩 | 고속성장 미디어커머스 회사에서 온라인 MD 채용 | 10시간 전 등록
[2025-06-29 06:00:47] INFO - 0136 | 이음 부동산 컨설팅 | 이동식주택 영업팀 고객응대 | 10시간 전 등록
[2025-06-29 06:00:47] INFO - 0137 | 프론티어랩 | 고속성장 미디어커머스 회사에서 영상 콘텐츠 디자이너 채용 | 10시간 전 등록
[2025-06-29 06:00:48] INFO - 0138 | 모모의원(수원) | [8월오픈] 모발이식전문병원 상담실장 모집 | 10시간 전 등록
[2025-06-29 06:00:48] INFO - 0139 | 모모의원(수원) | [8월오픈] 모발이식전문병원 두피관리사(외래팀) 모집 | 10시간 전 등록
[2025-06-29 06:00:48] INFO - 0140 | 빵백화점 마곡점 | 대형 베이커리 카페 [ 빵 백화점 마곡점 ] 홀 직원 및 매니져 공개 채용 | 10시간 전 등록
[2025-06-29 06:00:48] INFO - 0141 | 홍대구루메 | 홍대구루메 주방,홀 주5,6일 정직원 구합니다 | 10시간 전 등록
[2025-06-29 06:00:48] INFO - 0142 | 비댁스㈜ | 자금세탁방지업무(AML) 책임자 | 10시간 전 등록
[2025-06-29 06:00:48] INFO - 0143 | 오늘 여기 우리 | 세종시 오늘 여기 우리 사진관에서 즐겁게 근무하실 직원을 구합니다. | 10시간 전 등록
[2025-06-29 06:00:49] INFO - 0144 | 홍대구루메&텐큐 | 홍대구루메 주방, 홀서빙 알바, 5,6일 정직원 구합니다. | 10시간 전 등록
[2025-06-29 06:00:49] INFO - 0145 | 모모의원(수원) | [8월오픈] 모발이식전문병원 코디네이터 모집 | 10시간 전 등록
[2025-06-29 06:00:49] INFO - 0146 | 모모의원(수원) | [8월오픈] 모발이식전문병원 간호조무사(수술방) 모집 | 10시간 전 등록
[2025-06-29 06:00:49] INFO - 0147 | 모모의원(수원) | [8월오픈] 모발이식전문병원 운영팀 채용 | 10시간 전 등록
[2025-06-29 06:00:49] INFO - 0148 | 베스트미 | 패션/헬스케어 브랜드 콘텐츠 디자이너 채용 | 10시간 전 등록
