[2025-07-19 06:00:02] INFO - 🔧 Logging initialized
[2025-07-19 06:00:02] INFO - 프로그램 시작됨
[2025-07-19 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-19 06:00:16] INFO - 🔢 총 공고 수: 182067건 → 최대 페이지 수: 3642 페이지
[2025-07-19 06:00:16] INFO - 
📄 현재 페이지: 1
[2025-07-19 06:00:29] INFO - 0065 | ㈜메타엠 | [월-금/3일교육] 캡스 홈캠 A/S접수, 설치, 이용문의 인바운드(영업X) | 5시간 전 등록
[2025-07-19 06:00:29] INFO - 0066 | ㈜엠제이플렉스 | [대규모 채용/OTT운영] 티빙 VOD 콘텐츠 검수 및 모니터링 | 5시간 전 등록
[2025-07-19 06:00:29] INFO - 0067 | ㈜트랜스코스모스코리아 | [생성형AI콘텐츠 모니터링 업무 담당자 모집] 야간 / 재택 업무 | 5시간 전 등록
[2025-07-19 06:00:29] INFO - 0068 | ㈜엠제이플렉스 | [판교/복지우수/자체직 전환가능성 有] 대기업계열사 임원비서 채용 | 5시간 전 등록
[2025-07-19 06:00:30] INFO - 0069 | ㈜스시코우지 | [스시코우지ㆍ스시소라(서울/경기 전지점)] 본, 지점 조리/홀 채용 | 5시간 전 등록
[2025-07-19 06:00:30] INFO - 0070 | 보보스링크㈜ | [상암동/스포츠방송사] 스포티비 각 포지션별 담당 모집 | 5시간 전 등록
[2025-07-19 06:00:30] INFO - 0071 | 이케이맨파워㈜ | [이케이맨파워] 부산지사 HR 담당자 (잡매니저) 채용 | 5시간 전 등록
[2025-07-19 06:00:30] INFO - 0072 | 피엔에이링크 | [CLARINS 클라랑스] 백화점 뷰티브랜드 스킨케어 화장품 직원 채용 | 5시간 전 등록
[2025-07-19 06:00:30] INFO - 0073 | 에이스휴먼파워㈜ | [신입환영/매장선택] 스타벅스 서울/경기 바리스타 채용 - 거주지인근배치 | 5시간 전 등록
[2025-07-19 06:00:30] INFO - 0074 | ㈜케이티씨에스 | [kt cs 계약직] 중소벤처기업진흥공단 내일채움공제 상담사 채용 | 5시간 전 등록
[2025-07-19 06:00:30] INFO - 0075 | ㈜유니에스 | [운전병우대] 인천공항 외항기 기내식 운전원 모집 | 5시간 전 등록
[2025-07-19 06:00:31] INFO - 0076 | 피엔에이링크 | [L`OCCITANE 록시땅] 명품 브랜드 스킨케어 뷰티 매장 직원 채용 | 5시간 전 등록
[2025-07-19 06:00:31] INFO - 0077 | 에이스휴먼파워㈜ | [금융/정규직/논현역] 하이펀딩 심사관리팀 경력직 채용 | 5시간 전 등록
[2025-07-19 06:00:31] INFO - 0078 | ㈜엠제이플렉스 | [에디터/월231만이상] iMBC 디지털뉴스 운영 에디터/뉴스/기사작성/편집 | 5시간 전 등록
[2025-07-19 06:00:31] INFO - 0079 | 애드민 | [인센有/역삼역/주5일] 롯데캐피탈 컨택센터 인바운드 상담원 채용 | 5시간 전 등록
[2025-07-19 06:00:31] INFO - 0080 | ㈜비포스 | [장애인 채용] 하나카드 대표번호 인바운드 상담원 채용. | 5시간 전 등록
[2025-07-19 06:00:31] INFO - 0081 | 프리머스HR㈜ | [ICS/시디즈/일룸] 가구브랜드 인바운드 A/S 상담원 모집 / 경기 성남 소재 | 5시간 전 등록
