[2025-07-13 06:00:01] INFO - 🔧 Logging initialized
[2025-07-13 06:00:02] INFO - 프로그램 시작됨
[2025-07-13 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-13 06:00:19] INFO - 🔢 총 공고 수: 178427건 → 최대 페이지 수: 3569 페이지
[2025-07-13 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-13 06:00:36] INFO - 0076 | ㈜와이에이그룹 | (주)와이에이그룹 TM 상담원 채용 | 8시간 전 등록
[2025-07-13 06:00:36] INFO - 0077 | 도담파스타 | 도담파스타 주방 직원구해요 | 8시간 전 등록
[2025-07-13 06:00:36] INFO - 0078 | ㈜세스코 | [(주)세스코F&B](월평균10회휴무) 레스토랑 주방 직원 채용 | 8시간 전 등록
[2025-07-13 06:00:36] INFO - 0079 | ㈜쏘몽디자인 | 아파트 인테리어 현장정리/폐기물반출/트럭운전 | 8시간 전 등록
[2025-07-13 06:00:36] INFO - 0080 | 미건라이프㈜ | [미건라이프(주)] 제조지원팀 제상품개발 소싱 샘플제작 경력자 채용 | 8시간 전 등록
[2025-07-13 06:00:36] INFO - 0081 | 애크로매틱 어린이대공원 | [오소리 베이커리] 바리스타 정규직 팀원 모집 | 8시간 전 등록
[2025-07-13 06:00:36] INFO - 0082 | ㈜리틀넥 | (주) GFFG - 브런치레스토랑 리틀넥 한남점 주방에서 함께할 직원 모집 | 8시간 전 등록
[2025-07-13 06:00:37] INFO - 0083 | 백상코퍼레이션㈜ | /연3180 강서대형빌딩 미화반장 주5/ | 8시간 전 등록
[2025-07-13 06:00:37] INFO - 0084 | 백상코퍼레이션㈜ | 월317만 부산신항 지게차(검수)원 | 8시간 전 등록
[2025-07-13 06:00:37] INFO - 0085 | ㈜사토미제작소 | 사진,포토그래퍼 모집. | 8시간 전 등록
[2025-07-13 06:00:37] INFO - 0086 | 용호상사 | 지평막걸리 | 8시간 전 등록
[2025-07-13 06:00:37] INFO - 0087 | ㈜채가 | 구테로이테 사당점에서 함께 성장해 갈 인재를 찾습니다. | 8시간 전 등록
[2025-07-13 06:00:38] INFO - 0088 | ㈜아이엘피(ILP) | [소주없는맥주전문점강남PUB]/홀 정직원&관리자채용/주5일/법정공휴일휴무 | 8시간 전 등록
[2025-07-13 06:00:38] INFO - 0089 | 엠프로짐 | 양평군 엠프로짐에서 헬스트레이너선생님을 구합니다 | 8시간 전 등록
[2025-07-13 06:00:38] INFO - 0090 | 트리니티비스트로 | 대전 탄방동 이탈리안 레스토랑 주방직원 채용 | 8시간 전 등록
[2025-07-13 06:00:38] INFO - 0091 | 용호상사 | 지평막걸리 납품 및 관리 정규직 | 8시간 전 등록
[2025-07-13 06:00:38] INFO - 0092 | 정인한우 | 마장동 우시장에서 직원모집합니다. (소갈비 발골 정형 배우실분) | 8시간 전 등록
[2025-07-13 06:00:38] INFO - 0093 | 쿄베이커리(다산) | [쿄베이커리 다산 점]에서 제빵직원 모집합니다. | 8시간 전 등록
