[2025-07-20 06:00:01] INFO - 🔧 Logging initialized
[2025-07-20 06:00:02] INFO - 프로그램 시작됨
[2025-07-20 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-20 06:00:20] INFO - 🔢 총 공고 수: 177882건 → 최대 페이지 수: 3558 페이지
[2025-07-20 06:00:20] INFO - 
📄 현재 페이지: 1
[2025-07-20 06:00:33] INFO - 0062 | 디디하이브 | 브랜드 바이럴 마케터 | 5시간 전 등록
[2025-07-20 06:00:34] INFO - 0063 | 디디하이브 | 퍼포먼스 마케터(경력) | 5시간 전 등록
[2025-07-20 06:00:34] INFO - 0064 | 한국뉴매틱㈜ | 마케팅 경력직 | 5시간 전 등록
[2025-07-20 06:00:34] INFO - 0065 | 한국뉴매틱㈜ | 기술영업 경력 사원(부산) | 5시간 전 등록
[2025-07-20 06:00:34] INFO - 0066 | 한국뉴매틱㈜ | 기술영업 신입 사원 (천안) | 5시간 전 등록
[2025-07-20 06:00:34] INFO - 0067 | 한국뉴매틱㈜ | 출납, 회계 신입 | 5시간 전 등록
[2025-07-20 06:00:34] INFO - 0068 | 한국뉴매틱㈜ | 기술영업 경력사원 (천안) | 5시간 전 등록
[2025-07-20 06:00:34] INFO - 0069 | 한국뉴매틱㈜ | 기술연구소 신입 사원 | 5시간 전 등록
[2025-07-20 06:00:35] INFO - 0070 | 한국뉴매틱㈜ | 기술연구소 경력 사원 | 5시간 전 등록
[2025-07-20 06:00:35] INFO - 0071 | 한국뉴매틱㈜ | 기술영업 신입 사원 (광주) | 5시간 전 등록
[2025-07-20 06:00:35] INFO - 0072 | 한국뉴매틱㈜ | 기술영업 경력 사원 (광주) | 5시간 전 등록
[2025-07-20 06:00:35] INFO - 0073 | 한국뉴매틱㈜ | 기술영업 신입 사원 (서울) | 5시간 전 등록
[2025-07-20 06:00:35] INFO - 0074 | 한국뉴매틱㈜ | 기술영업 경력 사원 (서울) | 5시간 전 등록
[2025-07-20 06:00:35] INFO - 0075 | 한국뉴매틱㈜ | 기술영업 경력 사원 (부산) | 5시간 전 등록
[2025-07-20 06:00:35] INFO - 0076 | 한국뉴매틱㈜ | 해외영업 신입 | 5시간 전 등록
[2025-07-20 06:00:36] INFO - 0077 | 한국뉴매틱㈜ | 해외영업 경력 | 5시간 전 등록
[2025-07-20 06:00:36] INFO - 0078 | ㈜지스콥 | 2025년 정규직 비파괴 검사원 모집[울산/창원/포항/거제/김재/인천/창원/목포/영주/건천/시흥/서산 외 | 5시간 전 등록
[2025-07-20 06:00:36] INFO - 0079 | ㈜신화그룹 | [기본급/인센]신화그룹 SK VIEW 모델하우스 분양상담사 공고 필독 | 5시간 전 등록
[2025-07-20 06:00:36] INFO - 0080 | ㈜아그라홀딩스 | [코엑스]프리미엄 샤브샤브 노야 홀/주방 직원 채용 | 5시간 전 등록
[2025-07-20 06:00:36] INFO - 0081 | ㈜디비아이엔씨 | [DB Inc] 그룹관계사(DB손해보험) DBA 직원 채용 | 5시간 전 등록
[2025-07-20 06:00:36] INFO - 0082 | 대일인터내셔널하스피탈리티그룹 | 서울대학교 시흥캠퍼스 연수동 & 컨벤션 조리팀(신입/경력) 정규직 채용 | 5시간 전 등록
[2025-07-20 06:00:37] INFO - 0083 | ㈜써미트 | 골프장 회계팀원(과장/대리급) 모집 | 5시간 전 등록
[2025-07-20 06:00:37] INFO - 0084 | ㈜원재코리아 | 영업 및 영업관리 직원 모집합니다. | 5시간 전 등록
[2025-07-20 06:00:37] INFO - 0085 | ㈜온다와쏭 | 쏘타스위트 부산서면 호텔 객실팀 프론트 사원 채용 | 5시간 전 등록
[2025-07-20 06:00:37] INFO - 0086 | 인서울핏 헬스&PT | 이태원 인서울핏 수업포화 오전 / 오후 트레이너 모집 | 5시간 전 등록
[2025-07-20 06:00:37] INFO - 0087 | ㈜대경기술단 | 건축전기설계 경력직원 모집(주임,대리 급 모집) (수원) | 5시간 전 등록
[2025-07-20 06:00:37] INFO - 0088 | 하이유엑스컨설팅㈜ | 웹에이전시 영업/영업지원 모집(경력2년차이상) | 7시간 전 등록
[2025-07-20 06:00:37] INFO - 0089 | ㈜이든 | 신규 재가방문요양기관에서 같이 근무하실 요양보호사님 모십니다 | 7시간 전 등록
[2025-07-20 06:00:38] INFO - 0090 | 잼리딩북클럽학원 | 잼리딩북클럽 영어학원 파트타임 강사 모집 | 7시간 전 등록
[2025-07-20 06:00:38] INFO - 0091 | 당부 아카데미 | 비서 겸 수행기사 채용 차고지: 인천 송도, 주3-4일 출근 | 7시간 전 등록
[2025-07-20 06:00:38] INFO - 0092 | 피쉬컬쳐㈜ | [강릉 신라모노그램] 캐주얼 한식 레스토랑 피쉬컬쳐 홀서비스 스탭 모집 | 7시간 전 등록
[2025-07-20 06:00:38] INFO - 0093 | 에이엠닭에프엔비 | (주)에이엠닭에프엔비 홀서빙&주방보조 직원 구합니다. | 7시간 전 등록
[2025-07-20 06:00:38] INFO - 0094 | 손에손잡고 범계역점 | 손에손잡고 범계역점 홀직원 , 홀아르바이트 인원 구함 | 7시간 전 등록
[2025-07-20 06:00:39] INFO - 0095 | 한국맥도날드(유) | [강북,성북,노원구]맥도날드 번동DT점에서 크루를 모집합니다.(문자지원) | 7시간 전 등록
[2025-07-20 06:00:39] INFO - 0096 | 동탄에스소아청소년과의원 | 동탄에스 소아청소년과 발달클리닉 행정 아르바이트 | 7시간 전 등록
[2025-07-20 06:00:39] INFO - 0097 | 변호사김희정법률사무소 | 법률사무소 사무직원 채용합니다. | 7시간 전 등록
[2025-07-20 06:00:39] INFO - 0098 | 속초스테이 온담 | 속초스테이온담에서 호텔리어를 구인합니다. | 7시간 전 등록
[2025-07-20 06:00:39] INFO - 0099 | 동탄에스소아청소년과의원 | 동탄에스 소아청소년과 발달클리닉 행정 직원 | 7시간 전 등록
[2025-07-20 06:00:39] INFO - 0100 | 열린경희한의원 | [평일4,토요일 1 / 300] 잠원역 간호조무사 선생님 모십니다 | 7시간 전 등록
[2025-07-20 06:00:39] INFO - ⏱ 2.36초 대기
[2025-07-20 06:00:43] INFO - 
📄 현재 페이지: 3
[2025-07-20 06:00:43] INFO - 0101 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 7시간 전 등록
[2025-07-20 06:00:43] INFO - 0102 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 7시간 전 등록
[2025-07-20 06:00:43] INFO - 0103 | 흥국생명보험㈜ | [2025년 본사직영 신규채용] 기본급300. 정착지윈금지급. 복합TM센터 | 7시간 전 등록
[2025-07-20 06:00:44] INFO - 0104 | 안목 | 광안리 돼지국밥맛집 안목에서 함께할 가족을 모십니다 | 7시간 전 등록
[2025-07-20 06:00:44] INFO - 0105 | 남산의사계절 | 객실 예약/관리/운영 담당 매니져 모집 (호텔 숙박업 경력 필수) | 8시간 전 등록
[2025-07-20 06:00:44] INFO - 0106 | 척척바이오랩㈜ | 베트남 건강식품(해외영업) | 8시간 전 등록
[2025-07-20 06:00:44] INFO - 0107 | ㈜디자인큐원 | (주)디자인큐원 인테리어 현장관리 시공팀채용(신입/경력) | 8시간 전 등록
[2025-07-20 06:00:44] INFO - 0108 | ㈜프라게에듀 | 프라게에듀) 유치부,초등부 전담 영어강사 ( 4관오픈및 기존관 인원충원) | 8시간 전 등록
[2025-07-20 06:00:44] INFO - 0109 | ㈜정현소프트 | 학원관리 ERP 솔루션 CX담당 인재 채용 공고 | 8시간 전 등록
[2025-07-20 06:00:44] INFO - 0110 | 사랑모아금웅서비스박숙영 | [지점장/설계사 모집] 파격적인 지원/ 법인카드 지급/ 쾌적한 업무환경 | 8시간 전 등록
[2025-07-20 06:00:45] INFO - 0111 | 에이스경영자문그룹 | 전화 섭외사원 모집(정부 지원 사업 방문 약속) / 기본급 ,인센티브 지급 | 8시간 전 등록
[2025-07-20 06:00:45] INFO - 0112 | 릴리브의원 | [압구정역앞//간호파트/피부과]간호파트 추가 모집합니다. | 8시간 전 등록
[2025-07-20 06:00:45] INFO - 0113 | 에이스경영자문그룹 | 장기요양기관에서 기장 및 사무, 사회복지 업무 하셨던 분 | 8시간 전 등록
[2025-07-20 06:00:45] INFO - 0114 | ㈜어반아트 | 실내건축 인테리어 회사 경리직 모집합니다 | 8시간 전 등록
