[2025-07-27 06:00:01] INFO - 🔧 Logging initialized
[2025-07-27 06:00:03] INFO - Loading faiss.
[2025-07-27 06:00:03] INFO - Successfully loaded faiss.
[2025-07-27 06:00:03] INFO - Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes. This is only an error if you're trying to use GPU Faiss.
[2025-07-27 06:00:03] INFO - 프로그램 시작됨
[2025-07-27 06:00:03] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-27 06:00:21] INFO - 🔢 총 공고 수: 178065건 → 최대 페이지 수: 3562 페이지
[2025-07-27 06:00:21] INFO - 
📄 현재 페이지: 1
[2025-07-27 06:00:37] INFO - 0058 | ㈜케이티아이에스 | [대림역 / 지원금40만] KT텔레캅 인바운드 상담직 채용 | 5시간 전 등록
[2025-07-27 06:00:37] INFO - 0059 | ㈜케이티아이에스 | [공공기관/대법원/콜센터3개월필수] 사법UHD 정규직 상담사 채용 | 5시간 전 등록
[2025-07-27 06:00:37] INFO - 0060 | 에이스휴먼파워㈜ | [LG이노텍] [구미공장 / 대규모 채용] 8월 순차 입사 / 적극 환영 | 5시간 전 등록
[2025-07-27 06:00:37] INFO - 0061 | ㈜더가디언스 | 신세계백화점 마산점 보안 사원 모집 (정규직, 식사제공) | 7시간 전 등록
[2025-07-27 06:00:38] INFO - 0062 | 오브에르 | [패션 마케터 1명] 여성 디자이너 의류 브랜드 | 7시간 전 등록
[2025-07-27 06:00:38] INFO - 0063 | 헬로 스마일 목동점 | 헬로스마일 목동점에서 함께하실 [데스크리셉션담당자]를 기다립니다. | 7시간 전 등록
[2025-07-27 06:00:38] INFO - 0064 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 7시간 전 등록
[2025-07-27 06:00:38] INFO - 0065 | ㈜케이씨엠에스 | 광교 교육청 교육공동체 대상 포탈 구축 (k05) | 7시간 전 등록
[2025-07-27 06:00:38] INFO - 0066 | ㈜케이씨엠에스 | 부산 한국자산관리공사 유지관리 프로젝트 (k05) | 7시간 전 등록
[2025-07-27 06:00:39] INFO - 0067 | 흥국생명보험㈜ | [2025년 본사직영 신규채용] 기본급300. 정착지윈금지급. 복합TM센터 | 7시간 전 등록
[2025-07-27 06:00:39] INFO - 0068 | ㈜케이씨엠에스 | 송파 저축은행 뱅킹 여수신 프로젝트 개발 (k05) | 7시간 전 등록
[2025-07-27 06:00:39] INFO - 0069 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 7시간 전 등록
[2025-07-27 06:00:39] INFO - 0070 | ㈜케이씨엠에스 | 여의도 현대카드 시스템 개발 (k05) | 7시간 전 등록
[2025-07-27 06:00:40] INFO - 0071 | ㈜케이씨엠에스 | 구로 농협은행 AI 프론트 개발 (k05) | 7시간 전 등록
[2025-07-27 06:00:40] INFO - 0072 | ㈜케이씨엠에스 | 중구 우리은행 모바일신분증인증 업무 개발 (k03) | 7시간 전 등록
[2025-07-27 06:00:40] INFO - 0073 | ㈜케이씨엠에스 | 을지로입구 하나은행 펌뱅킹시스템 개발 (k03) | 7시간 전 등록
[2025-07-27 06:00:40] INFO - 0074 | ㈜케이씨엠에스 | 여의도 캐피탈사 상담심사 운영 (k03) | 7시간 전 등록
[2025-07-27 06:00:40] INFO - 0075 | ㈜케이씨엠에스 | 용산 현대자동차 시스템 구축 (k03) | 7시간 전 등록
[2025-07-27 06:00:41] INFO - 0076 | ㈜케이씨엠에스 | 여의도 현대카드 국민행복카드 프로젝트 (k02) | 7시간 전 등록
[2025-07-27 06:00:41] INFO - 0077 | ㈜케이씨엠에스 | 여의도 UI 솔루션 이행(포팅) 및 개발 (k02) | 8시간 전 등록
[2025-07-27 06:00:41] INFO - 0078 | 멀멀 판교 | 브런치카페 [멀멀판교] 주5일 홀 정직원 모집 | 8시간 전 등록
[2025-07-27 06:00:42] INFO - 0079 | 에이스경영자문그룹 | 전화 섭외사원 모집(정부 지원 사업 방문 약속) / 기본급 ,인센티브 지급 | 8시간 전 등록
[2025-07-27 06:00:42] INFO - 0080 | 에이스경영자문그룹 | 장기요양기관에서 기장 및 사무, 사회복지 업무 하셨던 분 | 8시간 전 등록
[2025-07-27 06:00:42] INFO - 0081 | 사랑모아금웅서비스박숙영 | [지점장/설계사 모집] 파격적인 지원/ 법인카드 지급/ 쾌적한 업무환경 | 8시간 전 등록
[2025-07-27 06:00:42] INFO - 0082 | ㈜아데코코리아 | [인천/BMW Korea] Test Center Administrator 채용 | 8시간 전 등록
[2025-07-27 06:00:42] INFO - 0083 | 패션메이커 | 온라인 MD | 8시간 전 등록
[2025-07-27 06:00:43] INFO - 0084 | ㈜케이씨엠에스 | 광화문 라이나원 홈페이지 구매솔루션 운영 (k02) | 8시간 전 등록
[2025-07-27 06:00:43] INFO - 0085 | ㈜디벨로펀 | [대원동 신규매장 : 두두댓 테이블] 신입 및 경력 조리사 모집 | 8시간 전 등록
[2025-07-27 06:00:43] INFO - 0086 | 조인아이티 | Roll In/우면동/8월-27.02/컨설턴트,고급 각1명/MM,FI,BC/상세참조/. | 8시간 전 등록
[2025-07-27 06:00:43] INFO - 0087 | ㈜서준리얼티 | 수입 명품멀티샵의 제품검수 및 발송업무담당을 모집합니다 | 8시간 전 등록
[2025-07-27 06:00:43] INFO - 0088 | OWN STAGE | 헬스/필라테스 PT센터에서 `FC 선생님(인포/매니저) 구인합니다` | 8시간 전 등록
[2025-07-27 06:00:44] INFO - 0089 | tytd | tytd 베이커리 카페 바리스타 채용 | 8시간 전 등록
[2025-07-27 06:00:44] INFO - 0090 | 뮤엠영어학원 | 부산 정관 뮤엠영어학원 1호점 - 고등 영어강사님 모집합니다. | 8시간 전 등록
[2025-07-27 06:00:44] INFO - 0091 | ㈜베스시프트 | [베이커리카페] 매니저/ 점장급 모집 (연차포함 월9회 휴무) | 8시간 전 등록
[2025-07-27 06:00:44] INFO - 0092 | 럭셔리앤하우스 부동산중개㈜잠실송파점 | 럭셔리앤하우스 부동산중개(주) 함께 성장할 신입 직원을 모십니다. | 8시간 전 등록
[2025-07-27 06:00:45] INFO - 0093 | 오토엠 (카페 노호) | [주 5일] 카페 노호에서 바리스타를 모집합니다. | 8시간 전 등록
[2025-07-27 06:00:45] INFO - 0094 | ㈜본앤쿡코리아 | 도화면옥 일산본점 점장 채용 | 8시간 전 등록
[2025-07-27 06:00:45] INFO - 0095 | 홍대구루메&텐큐 | 홍대구루메 주방, 홀서빙 알바, 5,6일 정직원 구합니다. | 8시간 전 등록
[2025-07-27 06:00:45] INFO - 0096 | 서울옥 | 하우스키핑 & 프런트 관리자 채용 | 8시간 전 등록
[2025-07-27 06:00:45] INFO - 0097 | 홈데코 디자인 | 리바트 집테리어 영업 프리랜서 모집 | 8시간 전 등록
[2025-07-27 06:00:46] INFO - 0098 | 홍대구루메 | 홍대구루메 주방,홀 주5,6일 정직원 구합니다 | 8시간 전 등록
[2025-07-27 06:00:46] INFO - 0099 | 디마인커피로스터즈 | 디마인커피로스터즈에서 (바리스타 신입 & 베이커리 경력직 채용) | 9시간 전 등록
[2025-07-27 06:00:46] INFO - 0100 | ㈜에비슈라 | (주)에비슈라 씨푸드뷔페레스토랑 베이커리 직원채용 | 9시간 전 등록
[2025-07-27 06:00:46] INFO - ⏱ 2.27초 대기
[2025-07-27 06:00:49] INFO - 
📄 현재 페이지: 3
