[2025-07-05 06:00:02] INFO - 🔧 Logging initialized
[2025-07-05 06:00:02] INFO - 프로그램 시작됨
[2025-07-05 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-05 06:00:39] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-05 06:00:39] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-05 06:00:39] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-07-05 06:01:15] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-05 06:01:15] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-05 06:01:15] INFO - 
🚀 크롤러 실행 시도 3/3
[2025-07-05 06:01:26] INFO - 🔢 총 공고 수: 179704건 → 최대 페이지 수: 3595 페이지
[2025-07-05 06:01:26] INFO - 
📄 현재 페이지: 1
[2025-07-05 06:01:46] INFO - ⏱ 2.28초 대기
[2025-07-05 06:01:49] INFO - 
📄 현재 페이지: 3
[2025-07-05 06:01:49] INFO - 0101 | ㈜리조트피플 | [리조트휘트니스] 롯데백화점 대전점 남/여 트레이너 모집합니다 | 5시간 전 등록
[2025-07-05 06:01:49] INFO - 0102 | ㈜잡스테이션 | [연4000만/기숙사/복지우수] 천룡CC - 식음팀 주임 모집 | 5시간 전 등록
[2025-07-05 06:01:49] INFO - 0103 | 세일즈웍스코리아(유) | (잠실지점) 이벤트, 홍보 부스 진행 할 활발하고 유쾌한 인재를 찾습니다 | 5시간 전 등록
[2025-07-05 06:01:50] INFO - 0104 | 세일즈웍스코리아(유) | (사당지점) 이벤트, 홍보행사 스탭 - 활발하고 유쾌한 인재를 찾습니다 | 5시간 전 등록
[2025-07-05 06:01:50] INFO - 0105 | ㈜씨티에스 컴퍼니 | [경기도 광주/여주/양평/이천]현대인증중고차 방문자동차진단평가 구인 | 5시간 전 등록
[2025-07-05 06:01:50] INFO - 0106 | 세일즈웍스코리아(유) | (잠실지점) 이벤트, 홍보 부스 진행 할 활발하고 유쾌한 인재를 찾습니다 | 5시간 전 등록
[2025-07-05 06:01:50] INFO - 0107 | ㈜엠제이플렉스 | [MBC/음향제작보조] 음향정비/스튜디오 음향 설치/출연자 마이크 관리 채용 | 5시간 전 등록
[2025-07-05 06:01:50] INFO - 0108 | 제이앤비컨설팅 | [롯데백화점 전주점 문화센터] 문화센터 데스크 근무자 채용 | 5시간 전 등록
[2025-07-05 06:01:51] INFO - 0109 | ㈜엠제이플렉스 | [SBSi/월 244만] 홈페이지 서비스구축/유지보수/UI개발 | 5시간 전 등록
[2025-07-05 06:01:51] INFO - 0110 | 동호에이치알㈜ | [여의도/대기업] 현대카드 이용 및 마케팅 업무 | 5시간 전 등록
[2025-07-05 06:01:51] INFO - 0111 | ㈜엠제이플렉스 | [금정역/대기업/자체계약직] 물류/일반 사무행정/사무지원 채용(성과급 多) | 5시간 전 등록
[2025-07-05 06:01:51] INFO - 0112 | 썬파크㈜ | 친환경 그린빌딩 시스템 설계 & 제품개발 | 5시간 전 등록
[2025-07-05 06:01:51] INFO - 0113 | 메리츠화재해상보험㈜ | [영업X,일반상담,부천/부산] 메리츠화재 대표번호 인바운드 상담사 모집 | 5시간 전 등록
[2025-07-05 06:01:51] INFO - 0114 | ㈜엠플라인 | [중국어/월10회휴무/신세계백화점/강남]글로벌텍스프리 환급데스크 | 5시간 전 등록
[2025-07-05 06:01:51] INFO - 0115 | 에이스휴먼파워㈜ | [삼성카드] 구미 단기연체 채권추심 상담 및 방문추심 팀원 채용 | 5시간 전 등록
[2025-07-05 06:01:52] INFO - 0116 | 펠릭스랩 | [전자담배 스타트업] 펠릭스랩 2025 하반기 채용 | 5시간 전 등록
[2025-07-05 06:01:52] INFO - 0117 | 에이스휴먼파워㈜ | [삼성카드] 수원지점 채권 상담 및 방문 추심직 채용 | 5시간 전 등록
[2025-07-05 06:01:52] INFO - 0118 | 에스케이쉴더스㈜ | [SK쉴더스] 경산지역 대구대학교 시설보안직(BP3) 채용 | 5시간 전 등록
[2025-07-05 06:01:52] INFO - 0119 | ㈜잡스테이션 | [기숙사有]아난티중앙CC-경기진행 정규직 모집 | 5시간 전 등록
[2025-07-05 06:01:52] INFO - 0120 | ㈜케이티씨에스 | [ktcs정규직/월-금] 한국교직원공제회 보험센터 인바운드 상담사 | 5시간 전 등록
[2025-07-05 06:01:52] INFO - 0121 | 토스인슈어런스㈜ | [토스 인슈어런스]내가원하는 소득가능,도전,꿈이룰수있다,최고의환경(인천 남동구) | 5시간 전 등록
[2025-07-05 06:01:53] INFO - 0122 | ㈜웅진 | [월급 260만 / 아웃바운드 / TM] 한의원 정규 매니저 채용 | 5시간 전 등록
[2025-07-05 06:01:53] INFO - 0123 | ㈜웅진 | [웅진] 왕초보 가능 / 영업 X 주말 X ] 코웨이 단순 고객센터 상담 채용 | 5시간 전 등록
