[2025-06-28 06:00:02] INFO - 🔧 Logging initialized
[2025-06-28 06:00:02] INFO - 프로그램 시작됨
[2025-06-28 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-06-28 06:00:40] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-06-28 06:00:40] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-06-28 06:00:40] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-06-28 06:00:54] INFO - 🔢 총 공고 수: 177674건 → 최대 페이지 수: 3554 페이지
[2025-06-28 06:00:54] INFO - 
📄 현재 페이지: 1
[2025-06-28 06:01:02] INFO - 0047 | 리드커리어 주식회사 | [잠실역] IT자산관리 실무자라면 클릭- 쿠팡 본사 단기 프로젝트 채용 | 5시간 전 등록
[2025-06-28 06:01:02] INFO - 0048 | 리드커리어 주식회사 | 지그재그 헬스&뷰티 AMD 채용 [식대지급/연3000만/재택병행] | 5시간 전 등록
[2025-06-28 06:01:02] INFO - 0049 | 삼양통상㈜군포공장 | 영업운영팀 (자동차 시트 ) 정규직 채용 | 5시간 전 등록
[2025-06-28 06:01:02] INFO - 0050 | ㈜엠플라인 | [무신사 성수/AMD]본사 MD 어시스턴트 직원 채용(선착순 채용) | 5시간 전 등록
[2025-06-28 06:01:02] INFO - ⏱ 2.58초 대기
[2025-06-28 06:01:05] INFO - 
📄 현재 페이지: 2
[2025-06-28 06:01:06] INFO - 0051 | ㈜케이티아이에스 | [지원금40만 / 대림역] KT텔레캅 고객상담사 모집 | 5시간 전 등록
[2025-06-28 06:01:06] INFO - 0052 | 코즈믹 버거 | 코즈믹버거 진주평거점 정규직 채용(신안동) | 5시간 전 등록
[2025-06-28 06:01:06] INFO - 0053 | 에이스휴먼파워㈜ | [LG이노텍 / 구미공장] 스마트폰 부품 제조 및 검사원 채용 / 7월 순차입사 | 5시간 전 등록
[2025-06-28 06:01:06] INFO - 0054 | 에이스휴먼파워㈜ | [LG이노텍 / 구미공장] 스마트폰 부품 제조 및 검사원 / 7월 순차 입사 | 5시간 전 등록
[2025-06-28 06:01:06] INFO - 0055 | ㈜오토젠 | (주)오토젠 아산 인주공장 차체부품 현장 공무팀 모집(신입,경력) | 5시간 전 등록
[2025-06-28 06:01:07] INFO - 0056 | 에이스휴먼파워㈜ | LG이노텍과 함께 성장할 인재 모집 [구미공장 / 대규모 채용] 7월순차입사 | 5시간 전 등록
[2025-06-28 06:01:07] INFO - 0057 | 벤티바㈜ | 온라인쇼핑몰 물류배송/CS/재고관리/사무보조 모집 | 5시간 전 등록
[2025-06-28 06:01:07] INFO - 0058 | 에스비에스(SBS)아카데미뷰티미용학원 | 헤어자격증수업&업스타일&실무 경력 강사님 구합니다 | 5시간 전 등록
