[2025-07-02 06:00:01] INFO - 🔧 Logging initialized
[2025-07-02 06:00:01] INFO - 프로그램 시작됨
[2025-07-02 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-02 06:00:15] INFO - 🔢 총 공고 수: 170585건 → 최대 페이지 수: 3412 페이지
[2025-07-02 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-02 06:00:33] INFO - 0087 | 한나이브성형외과의원 | [한나이브성형외과] 행정팀원을 모집합니다 ( 인사/ 노무/ 회계 ) | 8시간 전 등록
[2025-07-02 06:00:33] INFO - 0088 | 에이아이프리미어파트너스㈜ | [천안시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-02 06:00:33] INFO - 0089 | 에이아이프리미어파트너스㈜ | [부천시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-02 06:00:33] INFO - 0090 | 서플라이루트㈜ | [서플라이루트] 패션회사 의류디자이너 (경력3년이상) 채용 | 8시간 전 등록
[2025-07-02 06:00:33] INFO - 0091 | 에이아이프리미어파트너스㈜ | [서대문역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-02 06:00:34] INFO - 0092 | 에이아이프리미어파트너스㈜ | [야탑역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-02 06:00:34] INFO - 0093 | 더리본 | 서빙행사도우미[초보/주부/출근가능자] | 8시간 전 등록
[2025-07-02 06:00:34] INFO - 0094 | ㈜이곳이앤씨 | ㈜이곳이앤씨와 함께 성장할 [전기,통신설계] 전문가를 모십니다. | 8시간 전 등록
[2025-07-02 06:00:34] INFO - 0095 | 에이아이프리미어파트너스㈜ | [부평역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-02 06:00:34] INFO - 0096 | 서플라이루트㈜ | [서플라이루트] 패션회사 기획MD 신입 및 경력직 (패션전공필) 채용 | 8시간 전 등록
[2025-07-02 06:00:34] INFO - 0097 | ㈜케이씨엠에스 | 군산 세아베스틸 공정/조업 MES 개발 (t08) | 8시간 전 등록
[2025-07-02 06:00:34] INFO - 0098 | 이수정보㈜ | [을지로] OO기업 차세대 대응 TA(고급) | 8시간 전 등록
[2025-07-02 06:00:35] INFO - 0099 | ㈜럭스피엠 | 사무, 오퍼레이션 인재채용 신입 및 경력 (원주) | 8시간 전 등록
[2025-07-02 06:00:35] INFO - 0100 | 열정아구 | 평일 2회3회 오후6시부터10시 홀써빙 모집(전화 문자) | 8시간 전 등록
[2025-07-02 06:00:35] INFO - ⏱ 2.60초 대기
[2025-07-02 06:00:38] INFO - 
📄 현재 페이지: 3
[2025-07-02 06:00:39] INFO - 0101 | 한화생명금융서비스㈜ | 충청남도-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
[2025-07-02 06:00:39] INFO - 0102 | 한화생명금융서비스㈜ | 부산시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
[2025-07-02 06:00:39] INFO - 0103 | 엘포박스 | L4BOX 마케팅&기획 매니저 채용 (B2C/B2B 통합) | 8시간 전 등록
[2025-07-02 06:00:39] INFO - 0104 | 이수정보㈜ | [나주] OO기관 SAP HR 운영 및 컨설팅(SAP/고급) | 8시간 전 등록
[2025-07-02 06:00:39] INFO - 0105 | 영풍전자㈜ | 영풍전자(주) 창원본사 제품기술팀 경력직 채용 | 8시간 전 등록
[2025-07-02 06:00:40] INFO - 0106 | 본관상상학원 | 중고등부 수학 보조 아르바이트 알바 모집 | 8시간 전 등록
[2025-07-02 06:00:40] INFO - 0107 | 한화생명금융서비스㈜ | 부천시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
[2025-07-02 06:00:40] INFO - 0108 | 동신피앤피㈜ | 현장관리자 | 8시간 전 등록
[2025-07-02 06:00:40] INFO - 0109 | 클라이어학원 | 초중등 영어 내신 지도강사 | 8시간 전 등록
[2025-07-02 06:00:40] INFO - 0110 | ㈜동화고옥선릉 | [서울로인 서울역점] [연봉 3,700] 홀 / 주방 정직원 채용 (신입/경력) | 8시간 전 등록
[2025-07-02 06:00:40] INFO - 0111 | 에이아이에이프리미어파트너스㈜ | [청담동-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-02 06:00:41] INFO - 0112 | 에이아이에이프리미어파트너스㈜ | [대구시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-02 06:00:41] INFO - 0113 | 에이아이에이프리미어파트너스㈜ | [광주시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-02 06:00:41] INFO - 0114 | (주)분아뜰리에(엠에이치티 인천지점) | [분아뜰리에] 베이커리팀 신입 모집 | 8시간 전 등록
