[2025-06-26 06:00:01] INFO - 🔧 Logging initialized
[2025-06-26 06:00:01] INFO - 프로그램 시작됨
[2025-06-26 06:00:14] INFO - 🔢 총 공고 수: 175931건 → 최대 페이지 수: 3519 페이지
[2025-06-26 06:00:14] INFO - 
📄 현재 페이지: 1
[2025-06-26 06:00:27] INFO - 0056 | ㈜글로비트 | [(주)글로비트] 기획제안본부 사업관리 및 PM(프로젝트매니저) 채용공고 | 5시간 전 등록
[2025-06-26 06:00:27] INFO - 0057 | ㈜부릉 | [주식회사 부릉] 물류 운영 담당(부산경남) 정규직 모집 | 5시간 전 등록
[2025-06-26 06:00:28] INFO - 0058 | 서울시니어스타워㈜고창웰파크시티 | 고창 웰파크호텔 구매 담당자 채용공고 | 5시간 전 등록
[2025-06-26 06:00:28] INFO - 0059 | ㈜씨티아이로지스틱스 | 프레이트포워딩 해외마케팅 | 5시간 전 등록
[2025-06-26 06:00:28] INFO - 0060 | ㈜디제이씨 | 화학제조설비 유지,보수 ( 공무부) | 5시간 전 등록
[2025-06-26 06:00:28] INFO - 0061 | ㈜디제이씨 | 창고관리 (재고관리,입출고,지게차) 직원 모집 | 5시간 전 등록
[2025-06-26 06:00:28] INFO - 0062 | 에이스휴먼파워㈜ | [재택근무/화상면접] 쿠팡PBS 상품 모니터링 담당자 채용 | 5시간 전 등록
[2025-06-26 06:00:28] INFO - 0063 | 에이스휴먼파워㈜ | [재택/화상면접] 쿠팡PBS 검색 품질평가 담당자 채용 | 5시간 전 등록
[2025-06-26 06:00:29] INFO - 0064 | 에이스휴먼파워㈜ | [여의도/247만] 한국교직원공제회 보험사업부 심사지원팀 사무보조 채용 | 5시간 전 등록
[2025-06-26 06:00:29] INFO - 0065 | 리드커리어 주식회사 | KFC 일산직영 매장매니저 채용 [정규직/신입가능/연3400/복리후생] | 5시간 전 등록
[2025-06-26 06:00:29] INFO - 0066 | ㈜아데코코리아 | [정규직전환可/중국어/시청역] 한국화웨이기술 각 부문 채용(신입 가능) | 5시간 전 등록
[2025-06-26 06:00:29] INFO - 0067 | 리드커리어 주식회사 | KFC 인천직영 매장매니저 채용 [정규직/신입가능/연3400/복리후생] | 5시간 전 등록
[2025-06-26 06:00:29] INFO - 0068 | 아이비커리어㈜ | [강남역바로앞/패션브랜드본사/신사옥] 총무팀 채용 | 5시간 전 등록
[2025-06-26 06:00:29] INFO - 0069 | 주식회사 엠피씨플러스 | [콜수적음] 가맹점 POS 안내 및 A/S 접수 상담사 채용 | 5시간 전 등록
[2025-06-26 06:00:29] INFO - 0070 | ㈜케이티아이에스 | [구로 / KT 하이오더] 고객센터 관리자(실장) 모집 | 5시간 전 등록
[2025-06-26 06:00:30] INFO - 0071 | 동호에이치알㈜ | [기본283/수원] 현대카드X코스트코 청라점 직원 채용 | 5시간 전 등록
[2025-06-26 06:00:30] INFO - 0072 | 씨에이치솔루션㈜ | [KB스타샵/동탄]가맹점 대상 신규 가입 아웃바운드 상담사 채용 | 5시간 전 등록
[2025-06-26 06:00:30] INFO - 0073 | 동호에이치알㈜ | [여의도/대기업] 현대카드 불완전판매/품질 관리 및 개선 분석 업무 | 5시간 전 등록
[2025-06-26 06:00:30] INFO - 0074 | 리드커리어 주식회사 | [재택근무/정규직전환]쿠팡 본사 PBS조직 카탈로그 관리&가격최적화 담당자 | 5시간 전 등록
[2025-06-26 06:00:30] INFO - 0075 | ㈜케이티씨에스 | [kt cs 정규직] 메리츠화재 콜센터 인바운드 상담사 모집 | 5시간 전 등록
[2025-06-26 06:00:30] INFO - 0076 | 리드커리어 주식회사 | [잠실역] IT자산관리 실무자라면 `클릭` 쿠팡 본사 단기 프로젝트 채용 | 5시간 전 등록
[2025-06-26 06:00:31] INFO - 0077 | 동호에이치알㈜ | [여의도/대기업] 현대카드 상품(공카드, 페이지변경 등) 관리 업무 | 5시간 전 등록
[2025-06-26 06:00:31] INFO - 0078 | 동호에이치알㈜ | [외국계/중견/코스메틱/여의도] 브랜드 영상 촬영/기획 크리에이터 채용 | 5시간 전 등록
[2025-06-26 06:00:31] INFO - 0079 | ㈜케이티아이에스 | [고정급284만/14시-23시] 아마노코리아 상담사 채용 | 5시간 전 등록
[2025-06-26 06:00:31] INFO - 0080 | ㈜맨파워코리아 | [이천 마장] 명품 의류 잡화 물류센터 주간입출고 채용 자차必 | 5시간 전 등록
[2025-06-26 06:00:31] INFO - 0081 | ㈜제니엘 | [나이키코리아/강남본사] 상품 구성 기획 어시스턴트 채용 | 5시간 전 등록
[2025-06-26 06:00:31] INFO - 0082 | 이케이맨파워㈜ | [여의나루역/63빌딩] 한화생명 IT콜센터 인하우스 상담사 채용 | 5시간 전 등록
[2025-06-26 06:00:32] INFO - 0083 | ㈜동양이엠에스 | [더현대서울/정규직] 신규 베이커리 카페 부셰프 모집 | 5시간 전 등록
[2025-06-26 06:00:32] INFO - 0084 | ㈜동양이엠에스 | [더현대서울/정규직] 신규 베이커리 카페 부매니저 모집 | 5시간 전 등록
[2025-06-26 06:00:32] INFO - 0085 | ㈜잡스테이션 | [월340만이상/주간,교대 선택가능/정수기-부품조립]통근운행 | 5시간 전 등록
[2025-06-26 06:00:32] INFO - 0086 | ㈜케이티아이에스 | [월급 외 총 60만 정착금] 아이파킹 대표번호 상담사 모집 | 5시간 전 등록
[2025-06-26 06:00:32] INFO - 0087 | ㈜에이치엔서브 | [7월3일(목)면접/신입가능] 하나금융그룹 문서고 남직원채용 | 5시간 전 등록
[2025-06-26 06:00:32] INFO - 0088 | 다원코리아 | 정규직 /피자나라 치킨공주 천안공장 사원모집/성거읍 | 5시간 전 등록
