[2025-07-14 06:00:02] INFO - 🔧 Logging initialized
[2025-07-14 06:00:02] INFO - 프로그램 시작됨
[2025-07-14 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-14 06:00:19] INFO - 🔢 총 공고 수: 173171건 → 최대 페이지 수: 3464 페이지
[2025-07-14 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-14 06:00:27] INFO - 0050 | 이브이앤솔루션 (주) | 크린토피아 광주 광산지사 월300 야간배송기사/ 회사 차 이용 (비용 X) | 5시간 전 등록
[2025-07-14 06:00:27] INFO - ⏱ 3.28초 대기
[2025-07-14 06:00:31] INFO - 
📄 현재 페이지: 2
[2025-07-14 06:00:31] INFO - 0051 | ㈜두드림교육 | 컴퓨터활용능력2급실기(7월22일-8월22일) 화목/화목금 19:20-22:20 | 5시간 전 등록
[2025-07-14 06:00:31] INFO - 0052 | ㈜연세교육아카데미 | KDT/ 네트워크,정보보안,AWS,클라우드,서버 등 정보기술개발 시간강사 모집 | 5시간 전 등록
[2025-07-14 06:00:32] INFO - 0053 | 에이에스엠엘코리아㈜ | [ASML] EUV Technical Support Engineer (Flow&Temperature) | 5시간 전 등록
[2025-07-14 06:00:32] INFO - 0054 | ㈜서울써브스 | [SUBWAY] 써브웨이 강남역GT타워점 정규직 매니저 공개 채용 | 5시간 전 등록
[2025-07-14 06:00:32] INFO - 0055 | (주)원스탑프렙 | [정규직] Teach Advanced Math in Seoul, Apgujeong (SAT Math, Calculus) | 5시간 전 등록
[2025-07-14 06:00:32] INFO - 0056 | 동화세상 에듀코 | [신입/경력] 영어선생님/영어강사 급구 (초중고)-와와학습코칭학원 | 5시간 전 등록
[2025-07-14 06:00:32] INFO - 0057 | 한화솔루션㈜인사이트 제이드 | [한화솔루션 인사이트]제이드팰리스G.C. 일식 조리사 채용 | 5시간 전 등록
[2025-07-14 06:00:32] INFO - 0058 | 유화증권㈜ | [유화증권] 영업지원(콜센터 및 업무개발) 직원 채용공고 | 5시간 전 등록
[2025-07-14 06:00:33] INFO - 0059 | 농업회사법인㈜웨일즈 | 생산직 포지션 채용합니다. | 5시간 전 등록
[2025-07-14 06:00:33] INFO - 0060 | 하이미디어아카데미 | [하이미디어아카데미] 교육 상담팀 정규직 채용 | 5시간 전 등록
[2025-07-14 06:00:33] INFO - 0061 | ㈜서울써브스 | [SUBWAY] 써브웨이 직영점 강남역GT타워점 정규직 매니저 공개 채용 | 5시간 전 등록
[2025-07-14 06:00:33] INFO - 0062 | 미용하는사람들뷰티아카데미 | 의정부 미용하는사람들 메이크업강사모집 | 5시간 전 등록
[2025-07-14 06:00:33] INFO - 0063 | 와이비엠교육 | 3주 단기 초보 학생가능 유치원출강 영어강사 | 5시간 전 등록
[2025-07-14 06:00:33] INFO - 0064 | ㈜리터니티 | SCM 물류기획 | 5시간 전 등록
[2025-07-14 06:00:33] INFO - 0065 | ㈜리터니티 | 영상 PD | 5시간 전 등록
[2025-07-14 06:00:34] INFO - 0066 | ㈜아데코코리아 | [신한은행 본점/일 4시간] 글로벌전략부 통번역 채용 (석사 우대) | 5시간 전 등록
[2025-07-14 06:00:34] INFO - 0067 | 인커넥트 | [여의도역/월평균470만/TM경력자]-NH캐피탈 아웃바운드 정규상담사 모집 | 5시간 전 등록
[2025-07-14 06:00:34] INFO - 0068 | 리드커리어 주식회사 | [잠실 본사] IT자산관리 쿠팡 본사 3개월 단기프로젝트 채용 | 5시간 전 등록
[2025-07-14 06:00:34] INFO - 0069 | 시어링동명 | 시어링 동명 퓨전 한옥 레스토랑 주방직원 홀직원을 모집합니다. | 5시간 전 등록
[2025-07-14 06:00:34] INFO - 0070 | ㈜선정인터내셔날 | [수행기사 경력직] KT 임원운전직/강남구 | 5시간 전 등록
[2025-07-14 06:00:34] INFO - 0071 | ㈜선정인터내셔날 | [인사보조/채용지원] KT 인재실 사무보조 | 5시간 전 등록
[2025-07-14 06:00:35] INFO - 0072 | ㈜삼구아이앤씨 | 강동구 소재 오피스 빌딩 현장 소장 구인 | 5시간 전 등록
[2025-07-14 06:00:35] INFO - 0073 | 우아한청년들 | 우아한청년들에서 Business Analyst 모집중 | 5시간 전 등록
[2025-07-14 06:00:35] INFO - 0074 | 주식회사 엠피씨플러스 | [초보가능] 토스뱅크 간단문의 인바운드 상담사 채용 | 5시간 전 등록
[2025-07-14 06:00:35] INFO - 0075 | ㈜휴로넷 | [25년첫채용/정규직]SKT광주사옥 114 대표번호 단순CS상담업무[치평동] | 5시간 전 등록
[2025-07-14 06:00:35] INFO - 0076 | ㈜동양이엠에스 | SBS Biz 온라인뉴스 기사편집자 모집 | 5시간 전 등록
[2025-07-14 06:00:35] INFO - 0077 | ㈜휴로넷 | [25년첫채용/정규직]SKT광주사옥 114 대표번호 단순CS상담업무[우산동] | 5시간 전 등록
[2025-07-14 06:00:35] INFO - 0078 | ㈜휴로넷 | [25년첫채용/정규직]SKT청주사옥 114 대표번호 단순CS상담업무[사창동] | 5시간 전 등록
[2025-07-14 06:00:36] INFO - 0079 | ㈜휴로넷 | [25년첫채용/정규직]SKT대구사옥 114 대표번호 단순CS상담업무[동구] | 5시간 전 등록
[2025-07-14 06:00:36] INFO - 0080 | ㈜휴로넷 | [25년첫채용/정규직]SKT부산사옥 114 대표번호 단순CS상담업무[동래구] | 5시간 전 등록
[2025-07-14 06:00:36] INFO - 0081 | ㈜휴로넷 | [25년첫채용/정규직]SKT부산사옥 114 대표번호 단순CS상담업무[해운대구] | 5시간 전 등록
[2025-07-14 06:00:36] INFO - 0082 | ㈜인커넥트 | [전포동/최고의 복지/월평균270만/부서선택] LG헬로비전 고객센터 상담 | 5시간 전 등록
[2025-07-14 06:00:36] INFO - 0083 | 주식회사 엠피씨플러스 | [단기] 까르띠에 고객센터 인바운드 CS단기상담사 채용 | 5시간 전 등록
[2025-07-14 06:00:36] INFO - 0084 | 다우인력직업소개소 | 코스닥상장 중견기업 전산개발 유지보수 연 3700만 이상 채용공고 | 5시간 전 등록
[2025-07-14 06:00:37] INFO - 0085 | ㈜제인솔루션 | [본에스티스] 화장품 국내영업 경력 사원 모집합니다. | 5시간 전 등록
[2025-07-14 06:00:37] INFO - 0086 | ㈜제이앤비컨설팅 | [대형버스운전가능자/성과급별도] 기아 본사(양재) 버스의전 운전원 채용 | 5시간 전 등록
[2025-07-14 06:00:37] INFO - 0087 | ㈜프로에스콤 | 쿠팡 경산 2센터 경비.보안사원 채용 [복지카드 소지자 우대/ 월246만] | 5시간 전 등록
[2025-07-14 06:00:37] INFO - 0088 | ㈜제이앤비컨설팅 | (8월1일입사/견습상담원모집/남녀무관) 롯데카드 채권추심 견습생 채용 | 5시간 전 등록
[2025-07-14 06:00:37] INFO - 0089 | ㈜제이앤비컨설팅 | (대전/남녀무관/2-3개월구간)롯데카드 대전콜렉션 채권추심원 사원모집 | 5시간 전 등록
[2025-07-14 06:00:37] INFO - 0090 | 에이치알에스코리아㈜ | HRS코리아㈜ 수시채용 채용공고 | 5시간 전 등록
[2025-07-14 06:00:38] INFO - 0091 | ㈜미르마에이치알 | 역삼동/선정릉역)라움아트센터 직원식당 찬모 모집 | 5시간 전 등록
[2025-07-14 06:00:38] INFO - 0092 | 하랑 | [에이닷 김포사우지점]수강생 1대1 학습코칭 진도관리 강사 채용[전공무관] | 5시간 전 등록
[2025-07-14 06:00:38] INFO - 0093 | 하랑 | [에이닷 광주수완지점]수강생 1대1 학습코칭 진도관리 강사 채용[전공무관] | 5시간 전 등록
[2025-07-14 06:00:38] INFO - 0094 | 하랑 | [에이닷 평택합정지점]수강생 1대1 학습코칭 진도관리 강사 채용[전공무관] | 5시간 전 등록
[2025-07-14 06:00:38] INFO - 0095 | 유니에스 | [시청역/광화문/사무직] TV조선 본사 팀 사무보조 채용 | 5시간 전 등록
[2025-07-14 06:00:38] INFO - 0096 | 케이에프앤에스㈜ | [광화문&종각역/299만]KT광화문 임원비서(8월말 입사예정) | 5시간 전 등록
[2025-07-14 06:00:39] INFO - 0097 | ㈜지아이티아카데미 부천 | [전액지원] 취업하실 수강생을 모집합니다. (실내건축기사/영상/웹/시각) | 5시간 전 등록
[2025-07-14 06:00:39] INFO - 0098 | ㈜플러스82 (PLUS 82 Co | 외식프랜차이즈㈜PLUS82 운영관리SV/영업/경영(재경)팀 브랜드분야별 채용 | 5시간 전 등록
[2025-07-14 06:00:39] INFO - 0099 | 유엔에스코리아 | [월265만/주급가능] 포시즌스 특급호텔 신규모집 | 5시간 전 등록
[2025-07-14 06:00:39] INFO - 0100 | 혜윰 학원 | 초중등 수학 강사 | 7시간 전 등록
[2025-07-14 06:00:39] INFO - ⏱ 2.97초 대기
[2025-07-14 06:00:43] INFO - 
📄 현재 페이지: 3
[2025-07-14 06:00:43] INFO - 0101 | 주식회사솔루션제이 | 세무영업 기업 섭외 아웃바운드 TM /재택근무 가능함 | 7시간 전 등록
[2025-07-14 06:00:43] INFO - 0102 | 대치동리즈집현전원격학원 | 대치동리즈집현전 고등 국어·논술 강사 모집 | 7시간 전 등록
[2025-07-14 06:00:44] INFO - 0103 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 7시간 전 등록
[2025-07-14 06:00:44] INFO - 0104 | 흥국생명보험㈜ | [2025년 본사직영 신규채용] 기본급300. 정착지윈금지급. 복합TM센터 | 7시간 전 등록
[2025-07-14 06:00:44] INFO - 0105 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 7시간 전 등록
[2025-07-14 06:00:44] INFO - 0106 | 한솔교육 안동지사 | 한솔교육, 안동, 예천, 영주, 상주 점촌 방문교사 모집 합니다 | 7시간 전 등록
[2025-07-14 06:00:44] INFO - 0107 | ㈜공감인테리어 | [신입/경력] 디지털 콘텐츠 운영 담당자 모집 | 8시간 전 등록
[2025-07-14 06:00:44] INFO - 0108 | 에이스경영자문그룹 | 전화 섭외사원 모집(정부 지원 사업 방문 약속) / 기본급 ,인센티브 지급 | 8시간 전 등록
[2025-07-14 06:00:45] INFO - 0109 | 에이스경영자문그룹 | 장기요양기관에서 기장 및 사무, 사회복지 업무 하셨던 분 | 8시간 전 등록
[2025-07-14 06:00:45] INFO - 0110 | 현복인테리어 | 데스커 / 일룸 가구시공기사님 모집 초보자분 환영 | 8시간 전 등록
[2025-07-14 06:00:45] INFO - 0111 | 디자인Roasting | 편집디자이너 경력직 채용 | 8시간 전 등록
[2025-07-14 06:00:45] INFO - 0112 | 디자인 Roasting | 경력 디자이너 채용 | 8시간 전 등록
[2025-07-14 06:00:45] INFO - 0113 | ㈜차이들 | 강남/강남역 고급 중식당 차이룸 매니저, 홀 직원 모집합니다 | 8시간 전 등록
[2025-07-14 06:00:45] INFO - 0114 | 디자인HADA | 디자이너 채용[편집 경력자] | 8시간 전 등록
[2025-07-14 06:00:46] INFO - 0115 | 퍼센트워시 | 안산 퍼센트워시 디테일링샵에서 팀원 모집합니다. | 8시간 전 등록
[2025-07-14 06:00:46] INFO - 0116 | 주식회사솔루션제이 | 세무.재무 영업 방문 상담 업무/기업 컨설팅 | 8시간 전 등록
[2025-07-14 06:00:46] INFO - 0117 | 사랑모아금웅서비스박숙영 | [지점장/관리자급 모집] 파격적인 지원/ 법인카드 지급/ 쾌적한 업무환경 | 8시간 전 등록
[2025-07-14 06:00:46] INFO - 0118 | 지인산부인과의원 | [주40시간/경력자 최고우대]지인산부인과 간호조무사(외래/수술) 채용 | 8시간 전 등록
[2025-07-14 06:00:46] INFO - 0119 | 목동문예창작학원 | 문예창작(시) 강사 모집 [정규직·주4일·연봉 3600 이상] | 8시간 전 등록
