[2025-07-07 06:00:01] INFO - 🔧 Logging initialized
[2025-07-07 06:00:02] INFO - 프로그램 시작됨
[2025-07-07 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-07 06:00:15] INFO - 🔢 총 공고 수: 172779건 → 최대 페이지 수: 3456 페이지
[2025-07-07 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-07 06:00:29] INFO - 0060 | 연세대학교 동문회관 | 연세대학교 동문회관 시설직(전기파트) 채용 | 5시간 전 등록
[2025-07-07 06:00:29] INFO - 0061 | ㈜득인기공 | 사무원 직원 모집 | 5시간 전 등록
[2025-07-07 06:00:29] INFO - 0062 | ㈜케이비텍 | 실내조명 및 컨버터 AS 유지보수 기사 모집 | 5시간 전 등록
[2025-07-07 06:00:29] INFO - 0063 | ㈜투웨이컴(ToWayCom,.Ltd) | 워라벨 주간 3조교대 4일제 기숙사,통근 반도체부품 조립,QA,FA 모집 | 5시간 전 등록
[2025-07-07 06:00:29] INFO - 0064 | ㈜메타엠 | [ 초보가능 / 수 금 조기퇴근 / 110분 휴식] 신한카드 해피콜 사원채용 | 5시간 전 등록
[2025-07-07 06:00:29] INFO - 0065 | ㈜트리즈엔 | BE 개발자 모집 | 5시간 전 등록
[2025-07-07 06:00:30] INFO - 0066 | ㈜프로에스콤 | [잠실 롯데 어드벤처] 남.녀 무관 - 주간보안 / 야간보안 사원 채용 | 5시간 전 등록
[2025-07-07 06:00:30] INFO - 0067 | 연강의료(재) | 2025년 의료법인 연강의료재단 하반기 직원 채용 공고 | 5시간 전 등록
[2025-07-07 06:00:30] INFO - 0068 | ㈜프로에스콤 | [더현대서울] 여의도 현대백화점 /월 255-314만/ 주간보안.야간보안 채용 | 5시간 전 등록
[2025-07-07 06:00:30] INFO - 0069 | ㈜프로에스콤 | [월335만 가능/ 교대조 채용] 삼성역 코엑스-무역센터 보안사원 모집 | 5시간 전 등록
[2025-07-07 06:00:30] INFO - 0070 | ㈜유니파이 | 10시출근/마케팅부문/뚝섬역5분거리/동대문역사문화공원역1분거리 | 5시간 전 등록
[2025-07-07 06:00:30] INFO - 0071 | ㈜프로에스콤 | [종각역 / sc제일은행 본점 건물] 야간순환 보안사원 우선 채용 | 5시간 전 등록
[2025-07-07 06:00:31] INFO - 0072 | ㈜프로에스콤 | [광주시 - 쿠팡 광주 1,2,3,4 센터] 보안사원 채용 - 복지카드소지자 우대 | 5시간 전 등록
[2025-07-07 06:00:31] INFO - 0073 | 동원그룹 | [동원홈푸드] 축육/축산 리테일 영업 경력직 모집[서울 서초] | 5시간 전 등록
[2025-07-07 06:00:31] INFO - 0074 | 바이온사이트 | Data Scientist 채용 | 5시간 전 등록
[2025-07-07 06:00:31] INFO - 0075 | ㈜프로에스콤 | [창원시 쿠팡 물류센터 - 쿠팡 창원 1.2.3,4 센터] 보안 사원 모집 | 5시간 전 등록
[2025-07-07 06:00:31] INFO - 0076 | 바이온사이트 | Senior ML Engineer 채용 | 5시간 전 등록
[2025-07-07 06:00:31] INFO - 0077 | ㈜프로에스콤 | [복지카드 소지자 우대/ 월246만] 쿠팡 양산 물류센터 보안사원 채용 | 5시간 전 등록
[2025-07-07 06:00:31] INFO - 0078 | 바이온사이트 | Junior ML Engineer 채용 | 5시간 전 등록
[2025-07-07 06:00:32] INFO - 0079 | 바이온사이트 | Science Communicator 채용 | 5시간 전 등록
[2025-07-07 06:00:32] INFO - 0080 | 옵티시스㈜ | 옵티시스㈜ 각 분야별 신입 및 경력사원 모집 | 5시간 전 등록
[2025-07-07 06:00:32] INFO - 0081 | 케이에프앤에스㈜ | [287만/잠실역]KT송파타워 임원비서-신입경력/8월말 입사(광화문 이전예정) | 5시간 전 등록
[2025-07-07 06:00:32] INFO - 0082 | ㈜한미터보벤트 | 2025년 한미터보벤트 설계기술 지원부 신입사원 채용 | 5시간 전 등록
[2025-07-07 06:00:32] INFO - 0083 | 이케이맨파워주식회사 | [오룡역/고정급243만/정시퇴근] 하나은행 예금/적금 만기안내 상담사 채용 | 5시간 전 등록
[2025-07-07 06:00:32] INFO - 0084 | 대한상공회의소 | 청년취업 사관학교 AI 특화 캠퍼스 2기 모집 - 인텔 Smart AI Master | 5시간 전 등록
[2025-07-07 06:00:33] INFO - 0085 | ㈜한미터보벤트 | 2025년 한미터보벤트 기술영업부 신입사원 채용 | 5시간 전 등록
[2025-07-07 06:00:33] INFO - 0086 | ㈜예가람저축은행 | 2025년 예가람저축은행 창원지점(수신/육아휴직 대체인력) 채용 | 5시간 전 등록
[2025-07-07 06:00:33] INFO - 0087 | 사회복지법인 밀알복지재단 | [사회복지법인 밀알복지재단] 국제사업실 사업2팀 직원 채용공고 | 5시간 전 등록
[2025-07-07 06:00:33] INFO - 0088 | ㈜서울구조 | [신입/경력] 안전진단 및 구조설계 부문 채용 | 5시간 전 등록
[2025-07-07 06:00:33] INFO - 0089 | 비케이알 | 25년 6차 버거킹 운영관리직 채용 | 5시간 전 등록
[2025-07-07 06:00:33] INFO - 0090 | 그린코스(주) | 그린코스(주) 해외영업 신입, 경력(8년 미만) 채용 | 5시간 전 등록
[2025-07-07 06:00:33] INFO - 0091 | ㈜누리아이엔에스 | 다이렉트 자동차보험 상담 및 갱신관리직 채용 [보험영업아님] | 5시간 전 등록
[2025-07-07 06:00:34] INFO - 0092 | ㈜오피치 | [주4일근무/최강워라밸/정착지원금] 10시-5시 단순관리직 채용 | 5시간 전 등록
[2025-07-07 06:00:34] INFO - 0093 | ㈜태광건설 | 부동산 경매, 매매, (자산관리) 직원 채용 | 5시간 전 등록
[2025-07-07 06:00:34] INFO - 0094 | ㈜일룸엔데스커 | iloom 일룸 제주시 가구판매 영업사원을 모집합니다 | 5시간 전 등록
[2025-07-07 06:00:34] INFO - 0095 | ㈜시대고시기획시대교육 | 시대에듀 경제, 금융, 회계 수험서/단행본 출판기획 편집자 모집 | 5시간 전 등록
[2025-07-07 06:00:34] INFO - 0096 | 유화증권㈜ | [유화증권] 총무팀장 채용 | 5시간 전 등록
[2025-07-07 06:00:34] INFO - 0097 | ㈜리가켐 바이오사이언스 | [신약연구소] 면역항암(Immuno-Oncology) 연구원 채용 | 5시간 전 등록
[2025-07-07 06:00:35] INFO - 0098 | ㈜JP커뮤니케이션 | [JP커뮤니케이션] 웹디자이너 경력(3년 이상) 채용 | 5시간 전 등록
[2025-07-07 06:00:35] INFO - 0099 | ㈜제이에스라이프투게더 | 국내외 영업팀/영업사원/경력직/입찰/OP 모집/ | 5시간 전 등록
[2025-07-07 06:00:35] INFO - 0100 | ㈜제이에스라이프투게더 | 국내외 영업팀/영업담당/경력직/제안/입찰/수배/OP/ | 5시간 전 등록
[2025-07-07 06:00:35] INFO - ⏱ 3.31초 대기
[2025-07-07 06:00:39] INFO - 
📄 현재 페이지: 3
[2025-07-07 06:00:39] INFO - 0101 | ㈜제이에스라이프투게더 | 홈쇼핑여행상품/제주도패키지/패키지상담/TM/고객응대 | 5시간 전 등록
[2025-07-07 06:00:40] INFO - 0102 | ㈜현대엔지니어링 | (신입/경력) 사무보조원(관리업무담당자 모집) | 5시간 전 등록
[2025-07-07 06:00:40] INFO - 0103 | ㈜나레스트 | 피부. 강사 모집 (파트강사) 저녁반 또는 주말 | 5시간 전 등록
[2025-07-07 06:00:40] INFO - 0104 | 에이치알에스코리아 | [KT대전 (KT그룹 정규직)] 핸드폰 요금제 전산변경처리 및 상담 | 5시간 전 등록
[2025-07-07 06:00:40] INFO - 0105 | 에이치알에스코리아 | [KT대구 /KT그룹 정규직] 핸드폰(더쉬운) 요금제 전산변경처리 및 상담 | 5시간 전 등록
[2025-07-07 06:00:40] INFO - 0106 | ㈜더존비즈온 | [ERP구축 - 경력]더존비즈온 웹솔루션 ERP 구축 경력자 채용 | 6시간 전 등록
[2025-07-07 06:00:40] INFO - 0107 | ㈜더존비즈온 | [부산 - 웹개발 및 기획]더존비즈온 부산지역 웹개발, 웹기획 경력 채용 | 6시간 전 등록
[2025-07-07 06:00:41] INFO - 0108 | ㈜더존비즈온 | [정보보호 - 경력] 더존비즈온 정보보호 운영 및 관리자 경력 채용 | 6시간 전 등록
