[2025-07-03 06:00:01] INFO - 🔧 Logging initialized
[2025-07-03 06:00:02] INFO - 프로그램 시작됨
[2025-07-03 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-03 06:00:19] INFO - 🔢 총 공고 수: 173809건 → 최대 페이지 수: 3477 페이지
[2025-07-03 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-03 06:00:32] INFO - 0061 | 리드커리어㈜ | [한국정보통신기술협회/TTA] 6월 신입/경력 파견직 대규모 공개채용 | 5시간 전 등록
[2025-07-03 06:00:32] INFO - 0062 | ㈜메타엠 | 삼성카드 부가서비스 안내사원/해지미반영/한가지 업무만 | 5시간 전 등록
[2025-07-03 06:00:32] INFO - 0063 | ㈜삼화양행 청주 | (주)삼화양행 청주 - 생산기술 경력 모집 | 5시간 전 등록
[2025-07-03 06:00:32] INFO - 0064 | 애드민 | 화장품 대박스 포장 사원 모집 [천안, 조치원/신입환영] | 5시간 전 등록
[2025-07-03 06:00:32] INFO - 0065 | ㈜삼화양행 청주 | (주)삼화양행 청주 - 생산기술 신입 모집 | 5시간 전 등록
[2025-07-03 06:00:33] INFO - 0066 | ㈜스타럭스 | [스타럭스] 신세계면세점 명동(본점) 판도라 매장 판매사원 채용 (신입) | 5시간 전 등록
[2025-07-03 06:00:33] INFO - 0067 | 에이스휴먼파워㈜ | [삼성카드] 부천 지역 단기연채 채권추심 상담 및 방문 추심 직원 채용 | 5시간 전 등록
[2025-07-03 06:00:33] INFO - 0068 | 주식회사 엠피씨플러스 | [복지최고/높은급여/안양] 현대모비스 정규상담원 모집 | 5시간 전 등록
[2025-07-03 06:00:33] INFO - 0069 | ㈜트랜스코스모스코리아 | [월450만이상/선릉역] SBI저축은행 채권 SV 총괄 업무 7월 입사 | 5시간 전 등록
[2025-07-03 06:00:33] INFO - 0070 | 퍼펙트커리어㈜ | ㅣ연봉4500ㅣ기숙사지원ㅣ상여금300ㅣ영풍그룹 계열사 제조팀 공채모집 | 5시간 전 등록
[2025-07-03 06:00:33] INFO - 0071 | 인터프로셀㈜ | [교동/주5일] G1 영동지사 업무차량 운전직 모집 | 5시간 전 등록
[2025-07-03 06:00:34] INFO - 0072 | 퍼펙트커리어㈜ | ㅣ상여300ㅣ정착금지원60ㅣ기숙사지원ㅣ창립32주년 특별공채 | 5시간 전 등록
[2025-07-03 06:00:34] INFO - 0073 | 제이앤비컨설팅 | [롯데백화점 전주점/문화센터 사무] 문화센터 데스크 근무자 채용 | 5시간 전 등록
[2025-07-03 06:00:34] INFO - 0074 | ㈜태안모터스 | Audi ㈜태안모터스 '아우디 공식 딜러사' 각 부문 정규직 채용 | 5시간 전 등록
[2025-07-03 06:00:34] INFO - 0075 | (주)맨파워코리아 | [맨파워코리아/정규직] 수원지사 도급 컨설턴트 경력직 채용 | 5시간 전 등록
[2025-07-03 06:00:34] INFO - 0076 | 피엔에이링크 | [코오롱글로벌 / 인천 청라] 코오롱글로벌 청라 건설 현장 경리 채용 | 5시간 전 등록
[2025-07-03 06:00:34] INFO - 0077 | 에이스휴먼파워㈜ | [네이버/대기업] KREAM AMD 대규모 채용 | 5시간 전 등록
[2025-07-03 06:00:35] INFO - 0078 | ㈜코리아인 | [안양군포 대기업] 물류팀 사무보조 모집(신입환영) | 5시간 전 등록
[2025-07-03 06:00:35] INFO - 0079 | ㈜제일비엠시 | [아워홈]LG에너지솔루션오창점 구내식당 조리사/조리원 모집 | 5시간 전 등록
[2025-07-03 06:00:35] INFO - 0080 | 퍼펙트커리어㈜ | ㅣ상여300 1년6회지급ㅣ기숙사지원ㅣ창립32주년 제조팀 특별공채모집 | 5시간 전 등록
[2025-07-03 06:00:35] INFO - 0081 | kt ds University | kt ds 컨소시엄 26기 채용예정자과정 모집 안내 | 5시간 전 등록
[2025-07-03 06:00:35] INFO - 0082 | ㈜선정인터내셔날 | [데이터 추출/분석/가공] NICE그룹 통계분석(SAS) | 5시간 전 등록
[2025-07-03 06:00:35] INFO - 0083 | ㈜트랜스코스모스코리아 | [월350만이상/선릉역] SBI저축은행 연체관리 업무 7월 입사 | 5시간 전 등록
[2025-07-03 06:00:35] INFO - 0084 | 한국기자협회 | 기자협회보 취재기자 채용 | 5시간 전 등록
[2025-07-03 06:00:36] INFO - 0085 | ㈜모나미 | 모나미 마케팅팀(PM), 디자인팀(코스메틱 시각/제품디자인), TQM팀 물류센터 검사원, 해외영업팀 채용 | 5시간 전 등록
