[2025-07-12 06:00:01] INFO - 🔧 Logging initialized
[2025-07-12 06:00:02] INFO - 프로그램 시작됨
[2025-07-12 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-12 06:00:39] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-12 06:00:39] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-12 06:00:39] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-07-12 06:00:53] INFO - 🔢 총 공고 수: 183029건 → 최대 페이지 수: 3661 페이지
[2025-07-12 06:00:53] INFO - 
📄 현재 페이지: 1
[2025-07-12 06:01:19] INFO - 0120 | ㈜글로벌금융판매 | 이센트럴 총괄 영업팀장 및 관리자 모집 | 5시간 전 등록
[2025-07-12 06:01:19] INFO - 0121 | ㈜오상헬스케어 | 자금부 경력직 채용(사원 및 중간관리자) | 5시간 전 등록
[2025-07-12 06:01:19] INFO - 0122 | 주식회사 퀴버메딕 | [글로벌사업부] 해외마케팅 영상디자이너 모집 | 5시간 전 등록
[2025-07-12 06:01:19] INFO - 0123 | 솔루셔스 | 김포 호텔 시설기사 모십니다. | 5시간 전 등록
[2025-07-12 06:01:19] INFO - 0124 | ㈜티에스코리아 | 에코프렌즈 사무직 , 현장직 채용공고 | 5시간 전 등록
[2025-07-12 06:01:19] INFO - 0125 | 육거리대농마트 | 재미있는 분위기로 같이 과일 판매하실 분을 모십니다 | 6시간 전 등록
[2025-07-12 06:01:19] INFO - 0126 | 와이비엠잉글루 영어교습소 | [YBM 잉글루] 초/중 영어 채점 및 영어 보조 강사 (간단업무) | 6시간 전 등록
[2025-07-12 06:01:20] INFO - 0127 | 대흥운수 | [대흥운수] 25톤 카고트럭 운전기사 모집 (군산-서울,경기 수도권 운행) | 6시간 전 등록
[2025-07-12 06:01:20] INFO - 0128 | 장위청소년문화누림센터 | 청소년지도사 채용공고 | 6시간 전 등록
[2025-07-12 06:01:20] INFO - 0129 | ㈔대한민국청소년로봇 | 진로체험수업 하실 선생님 채용 합니다 | 6시간 전 등록
[2025-07-12 06:01:20] INFO - 0130 | ㈔대한민국청소년로봇 | 진로체험수업 하실 선생님 채용 공고 | 6시간 전 등록
[2025-07-12 06:01:20] INFO - 0131 | ㈔대한민국청소년로봇 | 진로체험수업 강사님 채용공고 | 6시간 전 등록
[2025-07-12 06:01:20] INFO - 0132 | ㈔대한민국청소년로봇 | 진로체험수업 하실 선생님 채용합니다 | 6시간 전 등록
[2025-07-12 06:01:21] INFO - 0133 | ㈜딥다이브(Deepdive Inc.) | [딥다이브] 재무회계 매니저 (Finance Manager) | 6시간 전 등록
