[2025-07-10 06:00:01] INFO - 🔧 Logging initialized
[2025-07-10 06:00:01] INFO - 프로그램 시작됨
[2025-07-10 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-10 06:00:21] INFO - 🔢 총 공고 수: 181828건 → 최대 페이지 수: 3637 페이지
[2025-07-10 06:00:21] INFO - 
📄 현재 페이지: 1
[2025-07-10 06:00:33] INFO - 0055 | 리드커리어 주식회사 | 벤츠 서초전시장 차량/제품전문가(PE) 채용 [인센티브多] | 5시간 전 등록
[2025-07-10 06:00:33] INFO - 0056 | 리드커리어 주식회사 | 한성자동차 벤츠 춘천전시장 차량전문가(PE) 채용 [인센티브多] | 5시간 전 등록
[2025-07-10 06:00:33] INFO - 0057 | ㈜메타엠 | [월평균 280만/차량지식 무관] 기아 앱 관련 인바운드 상담/기아커넥트 | 5시간 전 등록
[2025-07-10 06:00:33] INFO - 0058 | ㈜파인스태프 | SK원스토어 총무 및 비용처리업무/복지비, 통신비 별도 | 5시간 전 등록
[2025-07-10 06:00:34] INFO - 0059 | ㈜인사이드잡 | [코스닥상장기업] 지에프씨생명과학 안성공장 구매담당 사무직원 모집 | 5시간 전 등록
[2025-07-10 06:00:34] INFO - 0060 | ㈜케이티아이에스 | [경기신용보증재단/수원]고객센터 상담사 모집 | 5시간 전 등록
[2025-07-10 06:00:34] INFO - 0061 | 리드커리어 주식회사 | [식대지급/연3000만/재택병행]지그재그 리빙 카테고리AMD 채용 | 5시간 전 등록
[2025-07-10 06:00:34] INFO - 0062 | 리드커리어 주식회사 | [재택/정규직전환] 쿠팡본사 PBS팀 중국어 번역 담당자 대규모채용 | 5시간 전 등록
[2025-07-10 06:00:34] INFO - 0063 | 리드커리어 주식회사 | [잠실역]IT자산관리 실무자라면 `클릭`쿠팡 본사 단기프로젝트 채용 | 5시간 전 등록
[2025-07-10 06:00:34] INFO - 0064 | ㈜발렉스서비스 | [을지로/월 300만] 저축은행 본사 임원 비서(일본어 가능자) 채용 | 5시간 전 등록
[2025-07-10 06:00:35] INFO - 0065 | ㈜엠제이플렉스 | [안양/SK그룹사/정규직] 본사 이동통신장비 중계기 개발자(경력) | 5시간 전 등록
[2025-07-10 06:00:35] INFO - 0066 | ㈜메타엠 | [1기 신규오픈] 피싱차단 안심서비스 상담사 채용 (해지 미반영) | 5시간 전 등록
[2025-07-10 06:00:35] INFO - 0067 | ㈜케이티씨에스 | [서울/경기-근무지선택] LG전자 가전판매매니저 모집 | 5시간 전 등록
[2025-07-10 06:00:35] INFO - 0068 | ㈜메타엠 | [교육강사] 삼성카드 대구 고객센터 상담사 교육 및 지원 | 5시간 전 등록
[2025-07-10 06:00:35] INFO - 0069 | 신한금융플러스㈜ | 신한TM 영업실장(AM)/교육실장(CM) 모집 | 5시간 전 등록
[2025-07-10 06:00:35] INFO - 0070 | ㈜메타엠 | [대규모증원] 자동차보험 단순 CS상담 [주말보장/영업X] | 5시간 전 등록
[2025-07-10 06:00:36] INFO - 0071 | 에스엠케이 | 안산 HPCB 전공정 채용 [상여300/정착지원금/기숙사1,2인실무료/통근버스] | 5시간 전 등록
[2025-07-10 06:00:36] INFO - 0072 | 에스엠케이 | 시화공단 BBT 검사원 샘플 수입출하 사원모집 [기숙사/통근버스/상여금] | 5시간 전 등록
[2025-07-10 06:00:36] INFO - 0073 | 고려휴먼스㈜ | [신도림역/구로] 우리카드 단기채권 상담원 모집 | 5시간 전 등록
[2025-07-10 06:00:36] INFO - 0074 | 고려휴먼스㈜ | [스팩업/정부청사역] 한국자산관리공사 사무보조 | 5시간 전 등록
[2025-07-10 06:00:36] INFO - 0075 | 주식회사 엠피씨플러스 | [공공기관/군인공제회] 군인 대상 인바운드 상담사 채용 | 5시간 전 등록
[2025-07-10 06:00:36] INFO - 0076 | 고려휴먼스㈜ | [정부청사역/공기업/야근없음] 한국자산관리공사 사무보조 | 5시간 전 등록
[2025-07-10 06:00:37] INFO - 0077 | ㈜엠제이플렉스 | [SK계열사/정규직] 중계기 개발자 경력 채용/선택근로제 | 5시간 전 등록
[2025-07-10 06:00:37] INFO - 0078 | ㈜지원에이치에스 | [안산/안성 전자회사] 시급11021/ 연봉4200/ 정규직가능 /복지우수/통근 | 5시간 전 등록
[2025-07-10 06:00:37] INFO - 0079 | 엘비휴넷㈜ | 7월22일 출근 LG유플러스 전주고객센터 인원모집(익산,군산셔틀) | 5시간 전 등록
[2025-07-10 06:00:37] INFO - 0080 | 엘비휴넷㈜ | (토,일 8시간근무) 주휴수당지급 LG유플러스 기술 AS접수 주말상담사 | 5시간 전 등록
[2025-07-10 06:00:37] INFO - 0081 | ㈜선정인터내셔날 | [김해공항/정규직/식사제공] 항공기 객실 기내청소 및 정리 정돈 | 5시간 전 등록
[2025-07-10 06:00:37] INFO - 0082 | 제이앤비컨설팅 | ㅇ영업없어요ㅇ신입환영ㅇ남여무관ㅇ정착지원금 백만원ㅇ하나카드 광주센터 | 5시간 전 등록
[2025-07-10 06:00:38] INFO - 0083 | 트랜스코스모스코리아 | [신규/하루출근후평생재택]쿠팡이츠 로켓나우 일본어 상담사 모집 Ze7D | 5시간 전 등록
[2025-07-10 06:00:38] INFO - 0084 | 트랜스코스모스코리아 | [신규1기/재택/4H]쿠팡이츠 로켓나우 일본어 상담사 모집 ZRp2 | 5시간 전 등록
[2025-07-10 06:00:38] INFO - 0085 | 주식회사 엠피씨플러스 | 현대모비스 정규상담원 모집 [복지최고/높은급여/안양] | 5시간 전 등록
[2025-07-10 06:00:38] INFO - 0086 | ㈜커리어텍 | [본사] 삼우CM 건축사사무소 직원(총무팀) 채용 | 5시간 전 등록
[2025-07-10 06:00:38] INFO - 0087 | 트랜스코스모스코리아 | [재택근무/일본어] 쿠팡이츠 로켓나우 일본어 상담사 모집 - 4시간 Zn1F | 5시간 전 등록
[2025-07-10 06:00:38] INFO - 0088 | ㈜엠제이플렉스 | [상암/4.5일제/평일근무] MBC 편성팀 방송통계 보조 채용 | 5시간 전 등록
[2025-07-10 06:00:39] INFO - 0089 | 프리머스HR㈜ | [CMB 영등포방송] 야간송출 모니터링 담당자 채용 / 3교대, 월 10일 근무 | 5시간 전 등록
[2025-07-10 06:00:39] INFO - 0090 | ㈜아이피시 | [연세의료원] 신촌세브란스 국제진료소 비자신체검사실 단기 사원 채용 | 5시간 전 등록
[2025-07-10 06:00:39] INFO - 0091 | 아이비커리어㈜ | [역삼역] 현대모비스 임원비서 모집 | 5시간 전 등록
[2025-07-10 06:00:39] INFO - 0092 | AACT | [인천공항] AACT 화물터미널 각 부문 신입/경력 정규직 모집 | 5시간 전 등록
[2025-07-10 06:00:39] INFO - 0093 | ㈜아람인테크 | [SPC파리크라상 소속 정규직/주5일] 천등산휴게소 환경미화 정직원 채용 | 5시간 전 등록
[2025-07-10 06:00:39] INFO - 0094 | ㈜아람인테크 | [파리크라상 소속 정규직/주5일] 천등산휴게소 관리직(사무,영업지원) 채용 | 5시간 전 등록
[2025-07-10 06:00:40] INFO - 0095 | 피엔에이링크 | [코오롱글로벌 / 인천 청라] 코오롱글로벌 건설 현장 경리 채용 | 5시간 전 등록
[2025-07-10 06:00:40] INFO - 0096 | ㈜엠제이플렉스 | [상암/CJ ENM/마케팅] 엠넷플러스 SNS 콘텐츠 기획 및 운영 | 5시간 전 등록
[2025-07-10 06:00:40] INFO - 0097 | KB손해보험 | 2025 하반기 KB손해보험 영업사원모집 | 5시간 전 등록
[2025-07-10 06:00:40] INFO - 0098 | ㈜인터비즈시스템 | [격일근무/신촌] 빌딩 시설관리 직원 모집 | 5시간 전 등록
[2025-07-10 06:00:40] INFO - 0099 | ㈜선정인터내셔날 | GS&포인트 단순 인바운드/안내상담 고객센터 | 5시간 전 등록
[2025-07-10 06:00:40] INFO - 0100 | 유비벨록스㈜ | 유비벨록스 2025년도 분야별 인원모집 | 5시간 전 등록
[2025-07-10 06:00:40] INFO - ⏱ 2.72초 대기
[2025-07-10 06:00:43] INFO - 
📄 현재 페이지: 3
[2025-07-10 06:00:44] INFO - 0101 | ㈜잡플러스코리아 | [팬터TV] 방송 모니터링 담당 정규직 채용 | 5시간 전 등록
[2025-07-10 06:00:44] INFO - 0102 | 밤 인테리어 | [밤인테리어] 인테리어 설계 모집합니다. | 6시간 전 등록
[2025-07-10 06:00:44] INFO - 0103 | 밤 인테리어 | [밤인테리어] 현장관리자 모집합니다. | 6시간 전 등록
[2025-07-10 06:00:44] INFO - 0104 | (#)금쪽이케어 은평.서대문.마포 지사 | 은평구,서대문구,마포구 산후도우미, 베이비시터 대모집(업계 최고 우대) | 6시간 전 등록
[2025-07-10 06:00:45] INFO - 0105 | ㈜펠리치타스(Pellichit | [아르쥬 청담] 양식 다이닝 & 라운지 사원, 수쉐프 구인 | 7시간 전 등록
[2025-07-10 06:00:45] INFO - 0106 | 우리주간보호센터 | 주간보호센터 행정 사회복지사 모집 | 7시간 전 등록
[2025-07-10 06:00:45] INFO - 0107 | ㈜컬쳐커넥션 | [인턴] 사무 행정 업무 담당자 모집 | 7시간 전 등록
[2025-07-10 06:00:45] INFO - 0108 | 엔아이티에스 | [인천공항] Java 통합관리시스템 개발자 모집 공고[8월-1년] | 7시간 전 등록
[2025-07-10 06:00:45] INFO - 0109 | 엔아이티에스 | [계약직]SAP/ABAP 개발(장기) | 7시간 전 등록
[2025-07-10 06:00:45] INFO - 0110 | ㈜밸류비앤비 | [가산] 밸류비앤비 유튜브 주식 전문가 하반기 공개채용 | 7시간 전 등록
[2025-07-10 06:00:45] INFO - 0111 | ㈜밸류비앤비 | [홍대/합정] 밸류비앤비 유튜브 주식 전문가 하반기 공개채용 | 7시간 전 등록
[2025-07-10 06:00:46] INFO - 0112 | ㈜밸류비앤비 | [강남] 밸류비앤비 유튜브 주식 촬영 전문가 하반기 공개채용 | 7시간 전 등록
[2025-07-10 06:00:46] INFO - 0113 | ㈜밸류비앤비 | [영등포] 밸류비앤비 유튜브 주식 촬영 전문가 하반기 공개채용 | 7시간 전 등록
[2025-07-10 06:00:46] INFO - 0114 | 엔아이티에스 | 금융사 React 시스템개발 (장기) | 7시간 전 등록
[2025-07-10 06:00:46] INFO - 0115 | ㈜노바피프티 | (주)노바피프티 2D 디자이너 모집 [경력] | 7시간 전 등록
[2025-07-10 06:00:46] INFO - 0116 | 엔아이티에스 | [JAVA]증권사 업무시스템 개발(장기) | 7시간 전 등록
[2025-07-10 06:00:46] INFO - 0117 | 한국생명과학㈜ | 경리직원을 모집합니다. | 7시간 전 등록
[2025-07-10 06:00:46] INFO - 0118 | 스포애니 상동점 | 스포애니 상동점 헬스장 오후 경력직 구인 (신입, 견습 가능) | 7시간 전 등록
[2025-07-10 06:00:47] INFO - 0119 | DB손해보험㈜ | 함께하실분모집 | 7시간 전 등록
[2025-07-10 06:00:47] INFO - 0120 | 이니스프리 명동점 | 이니스프리 명동점 | 7시간 전 등록
[2025-07-10 06:00:47] INFO - 0121 | 메이든(Maiden) | [메이든스튜디오] 웨딩 스튜디오 포토그래퍼 사진촬영 작가 모집합니다. | 7시간 전 등록
[2025-07-10 06:00:47] INFO - 0122 | 톤즈의원 경기광주점 | [8월중오픈예정] 톤즈의원 경기광주점 코디네이터 모집 | 7시간 전 등록
[2025-07-10 06:00:47] INFO - 0123 | ㈜화진지앤씨 경주공장 | 사출 제조업 품질보증 채용 | 7시간 전 등록
[2025-07-10 06:00:47] INFO - 0124 | 톤즈의원 경기광주점 | [8월중오픈예정] 톤즈의원 경기광주점 피부관리사 모집 | 7시간 전 등록
[2025-07-10 06:00:48] INFO - 0125 | ㈜화진지앤씨 경주공장 | 사출 제조업 영업관리 모집 | 7시간 전 등록
[2025-07-10 06:00:48] INFO - 0126 | 톤즈의원 경기광주점 | [8월중오픈예정] 톤즈의원 경기광주점 간호조무사 모집 | 7시간 전 등록
[2025-07-10 06:00:48] INFO - 0127 | 톤즈의원 경기광주점 | [8월중오픈예정] 톤즈의원 경기광주점 상담실장 모집 | 7시간 전 등록
[2025-07-10 06:00:48] INFO - 0128 | 톡톡소다리딩영어 인계점 | 헤이제이 영어학원 영어강사 채용 공고 | 7시간 전 등록
[2025-07-10 06:00:48] INFO - 0129 | 더봄주간보호센터 | 더봄주간보호센터에서 사회복지사를 모집합니다. | 7시간 전 등록
[2025-07-10 06:00:48] INFO - 0130 | 더봄주간보호센터 | 더봄주간보호센터에서 간호사 및 간호조무사를 모집합니다. | 7시간 전 등록
[2025-07-10 06:00:48] INFO - 0131 | 보핀 | 패션 브랜드 온라인 MD/BM 총괄 모집 | 7시간 전 등록
[2025-07-10 06:00:49] INFO - 0132 | 주식회사시이커 | [중등부 강사 모집] 송도 메이커즈 학원 (군 장교ㆍ부사관 전역자 우대) | 8시간 전 등록
[2025-07-10 06:00:49] INFO - 0133 | 에이아이프리미어파트너스㈜ | [천안시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-10 06:00:49] INFO - 0134 | 에이스경영자문그룹 | 전화 섭외사원 모집(정부 지원 사업 방문 약속) / 기본급 ,인센티브 지급 | 8시간 전 등록
[2025-07-10 06:00:49] INFO - 0135 | 릴리브의원 | [압구정역앞//간호파트/피부과]간호파트 추가 모집합니다. | 8시간 전 등록
[2025-07-10 06:00:49] INFO - 0136 | 에이아이프리미어파트너스㈜ | [부천시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-10 06:00:49] INFO - 0137 | 에이스경영자문그룹 | 장기요양기관에서 기장 및 사무, 사회복지 업무 하셨던 분 | 8시간 전 등록
[2025-07-10 06:00:50] INFO - 0138 | 에이아이프리미어파트너스㈜ | [서대문역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-10 06:00:50] INFO - 0139 | 에이아이프리미어파트너스㈜ | [야탑역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-10 06:00:50] INFO - 0140 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 8시간 전 등록
[2025-07-10 06:00:50] INFO - 0141 | 에이아이프리미어파트너스㈜ | [부평역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-10 06:00:50] INFO - 0142 | ㈜위즈아이앤씨 | [군산] 두산 퓨얼셀 MES시스템 구축 건 (C#) | 8시간 전 등록
[2025-07-10 06:00:50] INFO - 0143 | ㈜위즈아이앤씨 | [시청역] 현대해상 퇴직연금 시스템 재구축 AA 모집 건 ( AA ) | 8시간 전 등록
[2025-07-10 06:00:50] INFO - 0144 | 사랑모아금웅서비스박숙영 | [지점장/관리자급 모집] 파격적인 지원/ 법인카드 지급/ 쾌적한 업무환경 | 8시간 전 등록
[2025-07-10 06:00:51] INFO - 0145 | ㈜위즈아이앤씨 | (기흥) HL홀딩스 데이터센터 서버 운영 모집 건 | 8시간 전 등록
[2025-07-10 06:00:51] INFO - 0146 | 곤트란쉐리에 1동탄점 | [곤트란쉐리에1동탄점]베이커리 카페 제빵사 모집 | 8시간 전 등록
[2025-07-10 06:00:51] INFO - 0147 | 피플라이프㈜ | 용산 / 보험설계사 경력자 채용 [업계 다양한 DB 사용 가능]. | 8시간 전 등록
[2025-07-10 06:00:51] INFO - 0148 | ㈜위즈아이앤씨 | (오금) 퍼시스 ERP 시스템 구축 (Next.js, Typescrit, axios, 퍼블리싱) | 8시간 전 등록
[2025-07-10 06:00:51] INFO - 0149 | 피플라이프㈜ | [용산-직전 연봉 대비 지원금 지급] 인큐 사업단장/지점장 채용 공고. | 8시간 전 등록
[2025-07-10 06:00:51] INFO - 0150 | ㈜송산에이앤씨 | 리조트 시설 및 운영 보조 담당 채용건 | 8시간 전 등록
[2025-07-10 06:00:51] INFO - ⏱ 2.13초 대기
[2025-07-10 06:00:54] INFO - 
📄 현재 페이지: 4
[2025-07-10 06:00:54] INFO - 0151 | 미디어 톡 | 사건 채널 유튜브 편집자 채용 공고 | 8시간 전 등록
[2025-07-10 06:00:54] INFO - 0152 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 8시간 전 등록
[2025-07-10 06:00:55] INFO - 0153 | 인카금융서비스㈜ | 남양주-TOT본부장-입사지원금/DB 다양한지원-신입경력 재무설계사 채용. | 8시간 전 등록
[2025-07-10 06:00:55] INFO - 0154 | 인카금융서비스㈜ | 아산-TOT 본부장-입사지원금/DB 다양한지원-신입경력 재무설계사 채용. | 8시간 전 등록
[2025-07-10 06:00:55] INFO - 0155 | 흥국생명보험㈜ | [2025년 본사직영 신규채용] 기본급300. 정착지윈금지급. 복합TM센터 | 8시간 전 등록
