[2025-07-08 06:00:01] INFO - 🔧 Logging initialized
[2025-07-08 06:00:01] INFO - 프로그램 시작됨
[2025-07-08 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-08 06:00:15] INFO - 🔢 총 공고 수: 176933건 → 최대 페이지 수: 3539 페이지
[2025-07-08 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-08 06:00:28] INFO - 0056 | ㈜아이피시 | [용인/주5일/병동보조] 용인세브란스병원 병동보조 채용 | 5시간 전 등록
[2025-07-08 06:00:28] INFO - 0057 | ㈜케이티아이에스 | [시간선택/월257만] 롯데오토케어 주간 상담사 채용 | 5시간 전 등록
[2025-07-08 06:00:28] INFO - 0058 | ㈜제이앤비컨설팅 | [J&B컨설팅]현대캐피탈 Collection지원팀 법원문서등록 사무지원 채용 | 5시간 전 등록
[2025-07-08 06:00:28] INFO - 0059 | 고려휴먼스㈜ | [강릉/공기업/야근없음] 한국자산관리공사 사무보조 | 5시간 전 등록
[2025-07-08 06:00:28] INFO - 0060 | 이케이맨파워㈜ | [급구] 서울역 내 카페 드 스카이 점장 경력직 모집 | 5시간 전 등록
[2025-07-08 06:00:29] INFO - 0061 | 리드커리어 주식회사 | 벤츠 분당/수원 각 서비스센터 접수데스크 리셉션 채용 [칼퇴보장] | 5시간 전 등록
[2025-07-08 06:00:29] INFO - 0062 | ㈜인커넥트 | [광주동구(문화전당역)/고정급224만(수당별도)] 스카이라이프 상담사 채용 | 5시간 전 등록
[2025-07-08 06:00:29] INFO - 0063 | 리드커리어 주식회사 | [에슬레져 브랜드] 안다르 본사 고객감동팀 전산처리 담당자 채용 | 5시간 전 등록
[2025-07-08 06:00:29] INFO - 0064 | ㈜맨토스파워 | [패션브랜드/외국계] 의류 VMD 수도권 라운딩 담당자 채용 | 5시간 전 등록
[2025-07-08 06:00:29] INFO - 0065 | 에이스휴먼파워㈜ | [신한카드/서울신용/미납 회수지원] 채권상담 / 업무 지원 / 고정 인센티브 | 5시간 전 등록
[2025-07-08 06:00:29] INFO - 0066 | 피엔에이링크 | [농협] 통합자금관리 프로그램 컨설턴트(고객사 상담 및 기술지원) 채용 | 5시간 전 등록
[2025-07-08 06:00:29] INFO - 0067 | 피엔에이링크 | [LF Food / 전국채용중] 모노마트 매장 관리 & 배송 사원 채용 - 정규 전환 | 5시간 전 등록
[2025-07-08 06:00:30] INFO - 0068 | 리드커리어 주식회사 | [식대지급/연3000만/재택병행]지그재그 헬스& 뷰티 AMD 채용 | 5시간 전 등록
[2025-07-08 06:00:30] INFO - 0069 | 리드커리어 주식회사 | [재택/정규직전환] 쿠팡 본사 PBS조직 이커머스 사무보조 대규모채용 | 5시간 전 등록
[2025-07-08 06:00:30] INFO - 0070 | 리드커리어 주식회사 | [잠실역] IT자산관리 실무자라면 `클릭`쿠팡 본사 단기프로젝트 채용 | 5시간 전 등록
